id,m_cf1,m_cf2,m_cf3
1,2.46,3.9,4.81
2,2.74,4.14,4.88
3,3.02,4.37,4.91
4,3.3,4.6,4.93
5,3.58,4.81,4.91
6,3.86,5.01,4.88
7,4.15,5.19,4.81
8,4.43,5.35,4.72
9,4.72,5.48,4.61
10,5.01,5.57,4.48
11,5.3,5.63,4.61
12,5.59,5.65,4.72
13,5.88,5.63,4.81
14,6.18,5.57,4.88
15,6.48,5.48,4.91
16,6.78,5.35,4.93
17,7.1,5.19,4.91
18,6.78,5.01,4.88
19,6.48,4.81,4.81
20,6.18,4.6,4.72
21,5.88,4.37,4.61
22,5.59,4.14,4.48
23,5.3,3.9,4.33
24,5.01,3.66,4.17
25,4.72,3.41,3.99
26,2.45,4.07,5.12
27,2.73,4.32,5.19
28,3.01,4.57,5.23
29,3.29,4.81,5.25
30,3.57,5.04,5.23
31,3.85,5.26,5.19
32,4.13,5.46,5.12
33,4.42,5.63,5.02
34,4.7,5.78,4.9
35,4.99,5.89,4.76
36,5.27,5.96,4.9
37,5.56,5.99,5.02
38,5.85,5.96,5.12
39,6.13,5.89,5.19
40,6.4,5.78,5.23
41,6.65,5.63,5.25
42,6.78,5.46,5.23
43,6.65,5.26,5.19
44,6.4,5.04,5.12
45,6.13,4.81,5.02
46,5.85,4.57,4.9
47,5.56,4.32,4.76
48,5.27,4.07,4.6
49,4.99,3.82,4.43
50,4.7,3.56,4.24
51,2.42,4.22,5.43
52,2.7,4.49,5.5
53,2.98,4.75,5.55
54,3.26,5.01,5.57
55,3.53,5.26,5.55
56,3.81,5.49,5.5
57,4.09,5.72,5.43
58,4.37,5.92,5.32
59,4.65,6.09,5.19
60,4.93,6.22,5.04
61,5.2,6.3,5.19
62,5.48,6.33,5.32
63,5.74,6.3,5.43
64,6.0,6.22,5.5
65,6.23,6.09,5.55
66,6.4,5.92,5.57
67,6.48,5.72,5.55
68,6.4,5.49,5.5
69,6.23,5.26,5.43
70,6.0,5.01,5.32
71,5.74,4.75,5.19
72,5.48,4.49,5.04
73,5.2,4.22,4.86
74,4.93,3.96,4.67
75,4.65,3.69,4.47
76,2.38,4.36,5.74
77,2.65,4.64,5.82
78,2.93,4.91,5.88
