id,cf1,cf2,cf3
1,2.66,3.86,6.15
2,4.27,3.29,4.78
3,2.42,5.8,4.79
4,3.82,5.75,3.67
5,3.33,5.13,6.44
6,3.12,5.47,3.93
7,3.47,6.24,3.7
8,3.9,3.96,4.74
9,5.08,5.26,5.54
10,6.71,8.04,4.82
11,6.98,6.03,3.88
12,6.01,4.4,5.67
13,4.79,5.45,4.85
14,8.33,5.94,5.91
15,8.4,4.75,3.56
16,5.62,5.63,4.72
17,8.38,4.23,4.7
18,8.68,5.79,4.18
19,6.44,4.46,4.13
20,6.96,3.75,4.68
21,5.7,3.13,3.09
22,4.4,4.46,5.33
23,5.94,3.76,5.97
24,6.06,3.25,4.36
25,5.94,3.77,3.07
26,1.87,4.26,3.82
27,2.42,3.32,6.51
28,3.04,2.89,5.31
29,3.09,3.24,5.75
30,4.32,3.58,5.46
31,3.56,3.89,3.95
32,3.63,6.58,3.95
33,3.5,5.76,6.55
34,4.15,6.16,5.13
35,4.56,6.01,4.64
36,5.98,7.99,6.84
37,3.3,4.6,5.18
38,6.41,6.67,5.98
39,6.86,4.75,4.86
40,5.48,4.78,6.65
41,8.51,4.9,4.62
42,9.37,4.61,6.51
43,4.13,6.52,6.23
44,4.89,5.22,4.89
45,6.15,4.69,6.25
46,5.9,4.99,6.39
47,6.47,2.89,5.95
48,5.38,4.87,5.12
49,6.08,4.12,2.07
50,2.54,2.76,4.7
51,2.14,4.17,5.82
52,2.66,3.54,5.38
53,2.16,4.43,6.27
54,3.65,4.0,5.64
55,2.91,4.34,5.57
56,2.02,3.07,5.22
57,3.39,5.43,5.68
58,3.81,6.83,3.89
59,3.12,6.18,5.16
60,5.55,6.71,5.06
61,3.71,5.45,5.57
62,7.4,3.59,5.32
63,6.68,7.59,5.14
64,6.62,7.85,6.11
65,5.48,6.06,6.54
66,6.26,3.84,6.96
67,9.84,6.27,5.51
68,7.33,3.59,5.5
69,8.0,4.46,6.66
70,5.97,4.73,6.02
71,6.81,5.41,4.76
72,4.83,5.01,5.64
73,4.5,4.46,2.35
74,5.75,3.58,4.96
75,4.94,2.76,3.33
76,2.78,3.72,5.07
77,3.16,3.87,5.46
78,2.49,5.55,7.01
79,2.09,5.44,6.91
80,3.06,3.22,5.2
81,2.7,5.95,6.37
82,4.86,6.48,6.11
83,5.1,6.46,5.28
84,4.01,6.22,4.75
85,4.16,6.16,4.72
86,5.45,6.71,6.25
87,6.09,7.94,6.29
88,5.71,8.7,5.31
89,3.59,8.23,5.89
90,5.88,7.55,4.78
91,5.67,6.54,3.52
92,8.7,6.01,7.12
93,4.44,6.31,5.48
94,5.0,4.45,5.24
95,5.62,5.91,6.03
96,5.15,4.18,7.29
97,5.09,3.4,4.51
98,5.8,4.06,5.36
99,5.44,3.82,4.88
100,5.68,3.52,4.56
101,2.83,3.19,6.66
102,2.24,4.3,6.38
103,3.65,5.57,6.45
104,2.34,4.59,9.15
105,3.5,5.69,7.15
106,3.89,5.65,4.73
107,3.7,7.91,6.29
108,3.42,6.05,7.6
109,4.38,4.66,4.4
110,6.43,5.49,3.35
111,5.2,5.84,5.24
112,6.22,7.11,5.17
113,7.04,8.62,5.59
114,5.63,7.1,6.06
115,5.32,6.71,5.19
116,4.8,5.96,5.42
117,6.7,5.44,3.96
118,6.49,7.79,6.61
119,5.29,6.74,8.19
120,7.55,4.72,7.04
121,6.2,4.84,7.21
122,6.62,3.63,5.94
123,6.64,4.38,5.97
124,5.22,4.61,4.99
125,4.5,5.06,4.78
126,1.81,5.63,6.29
127,2.19,4.31,6.27
128,2.88,5.19,6.19
129,2.49,7.0,5.29
130,2.61,5.29,6.75
131,4.81,5.04,8.4
132,4.78,4.55,6.31
133,3.36,9.57,6.49
134,4.67,7.68,7.71
135,5.11,7.74,4.15
136,4.94,7.82,7.62
137,5.11,6.5,6.71
138,3.45,7.7,8.19
139,4.46,10.29,7.02
140,6.18,4.61,6.57
141,3.53,5.92,7.12
142,6.92,7.52,4.78
143,6.88,6.65,5.87
144,3.92,6.72,6.82
145,5.79,4.04,5.84
146,5.59,6.0,7.19
147,6.83,3.61,7.0
148,4.4,4.51,6.72
149,2.18,3.82,6.97
150,4.17,5.03,5.85
151,2.75,7.09,8.95
152,1.58,5.32,5.16
153,2.54,6.34,8.82
154,3.1,4.95,7.4
155,2.78,6.28,8.61
156,4.28,8.23,7.12
157,2.51,5.3,5.85
