id,cf1,cf2,cf3
1,0.23,0.0,0.95
2,0.36,0.09,0.78
3,0.32,0.18,0.75
4,0.24,0.17,0.96
5,0.5,0.22,0.98
6,0.58,0.4,1.11
7,0.4,0.52,0.95
8,0.55,0.49,1.02
9,0.63,0.6,0.98
10,0.51,0.79,0.96
11,0.42,0.73,1.36
12,0.61,0.83,1.27
13,0.45,0.84,1.18
14,0.43,0.85,1.26
15,0.51,0.86,1.15
16,0.53,1.02,0.91
17,0.49,0.95,1.34
18,0.39,1.26,0.96
19,0.51,1.06,1.75
20,0.4,0.8,1.39
21,0.31,0.61,1.85
22,0.24,1.06,1.64
23,0.14,1.01,1.46
24,0.19,1.15,1.66
25,0.08,0.66,1.92
26,0.24,0.04,1.2
27,0.29,0.21,1.58
28,0.37,0.2,1.67
29,0.47,0.42,1.15
30,0.47,0.29,1.12
31,0.46,0.43,0.95
32,0.54,0.59,0.64
33,0.83,0.69,1.38
34,0.87,0.76,1.69
35,0.61,0.83,1.1
36,0.78,1.02,0.83
37,0.84,0.9,1.16
38,0.74,0.9,1.28
39,0.55,0.88,1.67
40,0.65,1.07,1.63
41,0.63,0.9,1.84
42,0.52,0.69,1.59
43,0.48,0.81,2.18
44,0.46,1.35,1.73
45,0.47,1.04,1.78
46,0.35,1.25,1.78
47,0.38,1.14,1.95
48,0.19,0.99,2.0
49,0.2,0.86,1.97
50,0.11,0.98,1.97
51,0.28,0.12,1.32
52,0.39,0.26,1.35
53,0.42,0.33,1.67
54,0.44,0.32,0.99
55,0.61,0.42,1.51
56,0.46,0.64,1.25
57,0.69,0.56,1.58
58,0.59,0.94,1.54
59,0.76,0.75,1.26
60,0.93,0.79,1.44
61,1.04,1.23,1.33
62,0.79,0.77,1.64
63,0.85,1.12,1.48
64,0.96,1.5,1.33
65,0.63,1.02,1.61
66,0.61,1.19,1.74
67,0.59,1.26,1.95
68,0.62,1.2,1.84
69,0.58,1.41,1.95
70,0.45,1.19,1.83
71,0.3,0.66,2.22
72,0.45,1.56,1.89
73,0.26,1.49,2.48
74,0.16,1.34,1.88
75,0.15,0.83,1.74
76,0.28,0.11,1.82
77,0.39,0.37,1.18
78,0.59,0.22,2.0
79,0.52,0.45,1.83
80,0.75,0.52,1.3
81,0.78,0.69,1.44
82,0.82,0.9,1.46
83,0.81,0.79,1.98
84,0.77,1.12,1.56
85,0.62,0.95,1.82
86,0.85,0.9,1.48
87,0.83,1.05,1.17
88,1.08,1.35,1.22
89,0.62,1.54,1.95
90,0.84,1.59,1.48
91,0.93,1.66,1.82
92,0.61,1.47,2.46
93,0.64,0.94,1.26
94,0.49,1.38,1.78
95,0.27,1.24,1.96
96,0.37,1.39,1.81
97,0.5,1.06,2.91
98,0.19,1.4,1.5
99,0.25,1.05,1.75
100,0.23,1.06,1.58
101,0.42,0.2,2.13
102,0.34,0.3,1.01
103,0.43,0.5,2.28
104,0.51,0.6,1.29
105,0.68,0.72,1.81
106,0.8,0.45,1.34
107,0.61,1.09,1.58
108,0.67,1.3,1.63
109,1.07,1.0,1.39
110,0.98,1.07,1.49
111,1.09,1.01,1.32
112,0.7,1.55,1.44
113,1.13,0.77,1.69
114,0.69,1.86,2.0
115,0.99,1.29,1.36
116,0.64,1.06,1.61
117,0.93,1.75,1.42
118,0.75,1.01,2.14
119,0.4,1.24,2.14
120,0.57,1.98,1.52
121,0.43,1.9,2.49
122,0.59,1.59,2.15
123,0.39,1.33,1.1
124,0.26,0.87,2.93
125,0.22,1.12,1.97
126,0.38,0.31,2.09
127,0.53,0.34,1.93
128,0.53,0.53,1.67
129,0.74,0.58,2.61
130,0.62,0.57,1.99
131,0.69,0.42,2.0
132,0.8,0.52,1.88
133,1.18,0.85,1.63
134,1.2,1.44,1.99
135,1.15,1.16,1.81
136,1.05,1.59,1.35
137,1.07,1.28,1.62
138,0.93,1.88,1.44
139,1.09,1.08,1.74
140,1.17,1.91,1.85
141,0.84,1.44,1.71
142,0.94,1.08,2.57
143,0.83,1.94,1.82
144,0.5,1.17,1.33
145,0.63,1.49,2.99
146,0.46,1.47,1.88
147,0.48,0.93,2.66
148,0.46,1.36,2.85
149,0.17,1.39,1.96
150,0.29,1.26,1.69
151,0.49,0.29,2.51
152,0.51,0.47,2.18
153,0.71,0.38,1.92
154,0.45,0.75,2.31
155,1.07,1.02,1.66
156,0.87,0.75,1.86
157,0.76,0.77,1.93
158,1.34,1.12,1.93
159,1.0,1.56,2.36
160,0.99,1.31,1.74
161,1.26,1.89,1.77
162,1.04,1.82,1.91
163,1.03,1.82,1.23
164,1.29,2.03,2.21
165,1.11,2.21,1.37
166,0.87,1.81,2.52
167,0.8,2.02,2.16
168,0.84,1.9,2.05
169,0.7,1.02,2.39
170,0.72,1.52,2.7
171,0.47,1.68,2.66
172,0.39,1.93,2.0
173,0.44,1.2,2.91
174,0.25,0.85,1.5
175,0.25,0.9,2.85
176,0.55,0.42,2.29
177,0.63,0.46,2.31
178,0.62,0.64,2.01
179,0.71,0.67,1.86
180,0.72,1.16,2.57
181,1.0,1.28,2.31
182,1.04,1.07,1.86
183,1.31,1.56,2.3
184,0.97,1.63,1.64
185,0.99,1.52,1.72
186,0.94,1.53,1.32
187,1.8,2.25,1.75
188,1.18,1.52,1.51
189,1.08,1.85,1.72
190,1.11,2.22,1.81
191,1.07,1.51,2.5
192,1.02,2.37,1.45
193,0.96,1.06,3.64
194,0.64,2.6,2.98
195,0.73,2.27,3.25
196,0.76,1.81,2.78
197,0.58,1.55,2.73
198,0.46,1.77,2.65
199,0.2,1.82,2.9
200,0.25,1.68,3.18
201,0.51,0.44,2.2
202,0.55,0.51,2.93
203,0.8,0.74,2.54
204,0.56,0.75,1.76
205,1.06,1.26,2.65
206,1.04,1.33,3.08
207,1.23,1.05,1.92
208,1.02,1.3,2.14
209,1.85,1.48,2.71
210,2.21,1.05,1.72
211,2.01,2.27,1.9
212,1.59,1.34,1.5
213,1.53,1.65,1.8
214,1.47,1.78,2.03
215,1.44,1.49,2.25
216,1.11,2.32,2.85
217,0.96,2.19,3.27
218,0.64,2.65,1.65
219,0.61,2.27,2.05
220,0.44,2.08,3.55
221,0.48,1.53,3.06
222,0.53,1.78,1.93
223,0.37,2.18,4.57
224,0.27,0.83,1.32
225,0.32,1.57,3.82
226,0.36,0.44,2.76
227,0.8,0.81,1.91
228,0.69,0.65,3.07
229,0.82,0.84,3.16
230,0.53,0.88,4.22
231,1.06,1.31,2.18
232,1.07,0.91,2.76
233,1.49,1.24,2.27
234,0.67,1.65,2.52
235,1.57,1.76,1.9
236,1.62,2.09,1.53
237,1.85,2.15,1.67
238,1.83,1.83,1.81
239,1.14,1.38,1.55
240,1.28,3.08,2.65
241,0.99,2.56,1.49
242,1.24,1.98,2.81
243,1.02,3.1,2.71
244,0.84,2.85,2.19
245,0.8,2.58,3.27
246,0.49,2.09,2.97
247,0.23,2.64,3.71
248,0.49,1.11,4.35
249,0.38,2.04,3.07
250,0.29,2.03,3.36
251,0.43,0.43,3.58
