id,m_cf1,m_cf2,m_cf3
1,0.24,-0.0,1.25
2,0.29,0.08,1.27
3,0.34,0.17,1.29
4,0.39,0.25,1.29
5,0.43,0.33,1.29
6,0.47,0.41,1.27
7,0.51,0.48,1.25
8,0.54,0.56,1.22
9,0.56,0.62,1.18
10,0.57,0.69,1.13
11,0.58,0.75,1.07
12,0.58,0.8,1.06
13,0.57,0.85,1.15
14,0.56,0.89,1.23
15,0.54,0.92,1.32
16,0.51,0.94,1.39
17,0.47,0.96,1.47
18,0.43,0.96,1.53
19,0.39,0.96,1.59
20,0.34,0.94,1.63
21,0.29,0.92,1.67
22,0.24,0.89,1.69
23,0.19,0.85,1.7
24,0.14,0.8,1.69
25,0.09,0.75,1.67
26,0.29,0.07,1.37
27,0.34,0.16,1.4
28,0.4,0.24,1.42
29,0.45,0.33,1.42
30,0.5,0.41,1.42
31,0.54,0.5,1.4
32,0.58,0.58,1.37
33,0.62,0.65,1.34
34,0.64,0.73,1.29
35,0.66,0.8,1.24
36,0.67,0.86,1.18
37,0.67,0.92,1.14
38,0.66,0.97,1.23
39,0.64,1.02,1.33
40,0.62,1.05,1.42
41,0.58,1.08,1.5
42,0.54,1.09,1.58
43,0.5,1.1,1.65
44,0.45,1.09,1.72
45,0.4,1.08,1.77
46,0.34,1.05,1.81
47,0.29,1.02,1.83
48,0.23,0.97,1.84
49,0.18,0.92,1.83
50,0.12,0.86,1.81
51,0.33,0.13,1.5
52,0.39,0.23,1.53
53,0.45,0.32,1.55
54,0.51,0.41,1.56
55,0.56,0.5,1.55
56,0.61,0.58,1.53
57,0.66,0.67,1.5
58,0.7,0.75,1.46
59,0.73,0.83,1.41
60,0.75,0.91,1.35
61,0.76,0.98,1.29
62,0.76,1.04,1.22
63,0.75,1.1,1.32
64,0.73,1.15,1.42
65,0.7,1.19,1.51
66,0.66,1.22,1.61
67,0.61,1.23,1.7
68,0.56,1.24,1.78
69,0.51,1.23,1.85
70,0.45,1.22,1.91
71,0.39,1.19,1.95
72,0.33,1.15,1.98
73,0.27,1.1,1.99
74,0.21,1.04,1.98
75,0.16,0.98,1.95
76,0.37,0.2,1.63
77,0.43,0.29,1.67
78,0.5,0.39,1.69
79,0.56,0.48,1.7
80,0.62,0.58,1.69
81,0.68,0.67,1.67
82,0.74,0.76,1.63
83,0.78,0.85,1.59
84,0.82,0.94,1.53
85,0.84,1.02,1.47
86,0.85,1.09,1.39
87,0.85,1.16,1.32
88,0.84,1.23,1.39
89,0.82,1.28,1.5
90,0.78,1.33,1.61
91,0.74,1.36,1.71
92,0.68,1.38,1.81
93,0.62,1.39,1.9
94,0.56,1.38,1.98
95,0.5,1.36,2.05
96,0.43,1.33,2.11
97,0.37,1.28,2.14
98,0.31,1.23,2.15
99,0.25,1.16,2.14
100,0.18,1.09,2.11
101,0.41,0.26,1.77
102,0.47,0.36,1.81
103,0.54,0.46,1.83
104,0.61,0.56,1.84
105,0.68,0.65,1.83
106,0.75,0.75,1.81
107,0.81,0.85,1.77
108,0.87,0.94,1.72
109,0.92,1.04,1.65
110,0.95,1.13,1.58
111,0.96,1.21,1.5
112,0.96,1.29,1.42
113,0.95,1.36,1.47
114,0.92,1.42,1.58
115,0.87,1.47,1.7
116,0.81,1.51,1.81
117,0.75,1.53,1.92
118,0.68,1.54,2.02
119,0.61,1.53,2.12
120,0.54,1.51,2.2
121,0.47,1.47,2.26
122,0.41,1.42,2.31
123,0.34,1.36,2.32
124,0.28,1.29,2.31
125,0.21,1.21,2.26
126,0.44,0.31,1.91
127,0.51,0.42,1.95
128,0.58,0.52,1.98
129,0.66,0.62,1.99
130,0.74,0.73,1.98
131,0.81,0.83,1.95
132,0.89,0.94,1.91
133,0.96,1.04,1.85
134,1.02,1.14,1.78
135,1.06,1.23,1.7
136,1.07,1.33,1.61
137,1.07,1.41,1.51
138,1.06,1.49,1.53
139,1.02,1.56,1.65
140,0.96,1.62,1.78
141,0.89,1.66,1.9
142,0.81,1.69,2.02
143,0.74,1.69,2.14
144,0.66,1.69,2.25
145,0.58,1.66,2.35
146,0.51,1.62,2.43
147,0.44,1.56,2.48
148,0.37,1.49,2.5
149,0.3,1.41,2.48
150,0.23,1.33,2.43
151,0.46,0.37,2.05
152,0.54,0.47,2.11
153,0.62,0.58,2.14
154,0.7,0.69,2.15
155,0.78,0.8,2.14
156,0.87,0.91,2.11
157,0.96,1.02,2.05
158,1.04,1.13,1.98
159,1.12,1.23,1.9
160,1.18,1.34,1.81
161,1.2,1.44,1.71
162,1.2,1.54,1.61
163,1.18,1.63,1.59
164,1.12,1.7,1.72
165,1.04,1.77,1.85
166,0.96,1.82,1.98
167,0.87,1.85,2.12
168,0.78,1.86,2.25
169,0.7,1.85,2.38
170,0.62,1.82,2.5
171,0.54,1.77,2.6
172,0.46,1.7,2.67
173,0.39,1.63,2.7
174,0.32,1.54,2.67
175,0.25,1.44,2.6
176,0.48,0.41,2.2
177,0.56,0.52,2.26
178,0.64,0.64,2.31
179,0.73,0.75,2.32
180,0.82,0.86,2.31
181,0.92,0.98,2.26
182,1.02,1.09,2.2
183,1.12,1.21,2.12
184,1.23,1.33,2.02
185,1.32,1.44,1.92
186,1.36,1.55,1.81
187,1.36,1.66,1.7
188,1.32,1.76,1.63
189,1.23,1.85,1.77
190,1.12,1.93,1.91
191,1.02,1.99,2.05
192,0.92,2.02,2.2
193,0.82,2.04,2.35
194,0.73,2.02,2.5
195,0.64,1.99,2.65
196,0.56,1.93,2.78
197,0.48,1.85,2.88
198,0.41,1.76,2.92
199,0.33,1.66,2.88
200,0.26,1.55,2.78
201,0.49,0.46,2.35
202,0.57,0.57,2.43
203,0.66,0.68,2.48
204,0.75,0.8,2.5
205,0.84,0.92,2.48
206,0.95,1.04,2.43
207,1.06,1.16,2.35
208,1.18,1.29,2.25
209,1.32,1.41,2.14
210,1.47,1.54,2.02
211,1.55,1.66,1.9
212,1.55,1.78,1.78
213,1.47,1.89,1.67
214,1.32,2.0,1.81
215,1.18,2.09,1.95
216,1.06,2.16,2.11
217,0.95,2.21,2.26
218,0.84,2.22,2.43
219,0.75,2.21,2.6
220,0.66,2.16,2.78
221,0.57,2.09,2.96
222,0.49,2.0,3.11
223,0.42,1.89,3.17
224,0.34,1.78,3.11
225,0.27,1.66,2.96
226,0.5,0.49,2.5
227,0.58,0.61,2.6
228,0.67,0.73,2.67
229,0.76,0.85,2.7
230,0.85,0.97,2.67
231,0.96,1.1,2.6
232,1.07,1.23,2.5
233,1.2,1.36,2.38
234,1.36,1.49,2.25
235,1.55,1.63,2.12
236,2.0,1.76,1.98
237,2.0,1.89,1.85
238,1.55,2.02,1.72
239,1.36,2.15,1.83
240,1.2,2.26,1.98
241,1.07,2.35,2.14
242,0.96,2.4,2.31
243,0.85,2.43,2.48
244,0.76,2.4,2.67
245,0.67,2.35,2.88
246,0.58,2.26,3.11
247,0.5,2.15,3.34
248,0.42,2.02,3.48
249,0.35,1.89,3.34
250,0.28,1.76,3.11
251,0.5,0.52,2.65
252,0.58,0.64,2.78
253,0.67,0.76,2.88
254,0.76,0.89,2.92
255,0.85,1.02,2.88
256,0.96,1.15,2.78
257,1.07,1.28,2.65
258,1.2,1.42,2.5
259,1.36,1.56,2.35
260,1.55,1.7,2.2
261,2.0,1.85,2.05
262,2.0,2.0,1.91
263,1.55,2.15,1.77
264,1.36,2.29,1.84
265,1.2,2.43,1.99
266,1.07,2.54,2.15
267,0.96,2.62,2.32
268,0.85,2.65,2.5
269,0.76,2.62,2.7
270,0.67,2.54,2.92
271,0.58,2.43,3.17
272,0.5,2.29,3.48
273,0.42,2.15,4.1
274,0.35,2.0,3.48
275,0.28,1.85,3.17
276,0.49,0.55,2.78
277,0.57,0.67,2.96
278,0.66,0.79,3.11
279,0.75,0.92,3.17
280,0.84,1.05,3.11
281,0.95,1.19,2.96
282,1.06,1.33,2.78
283,1.18,1.47,2.6
284,1.32,1.62,2.43
285,1.47,1.77,2.26
286,1.55,1.93,2.11
287,1.55,2.09,1.95
288,1.47,2.26,1.81
289,1.32,2.43,1.83
290,1.18,2.59,1.98
291,1.06,2.74,2.14
292,0.95,2.85,2.31
293,0.84,2.89,2.48
294,0.75,2.85,2.67
295,0.66,2.74,2.88
296,0.57,2.59,3.11
297,0.49,2.43,3.34
298,0.42,2.26,3.48
299,0.34,2.09,3.34
300,0.27,1.93,3.11
301,0.48,0.57,2.88
302,0.56,0.69,3.11
303,0.64,0.81,3.34
304,0.73,0.94,3.48
305,0.82,1.08,3.34
306,0.92,1.22,3.11
307,1.02,1.36,2.88
308,1.12,1.51,2.67
309,1.23,1.66,2.48
310,1.32,1.82,2.31
311,1.36,1.99,2.14
312,1.36,2.16,1.98
313,1.32,2.35,1.83
314,1.23,2.54,1.81
315,1.12,2.74,1.95
316,1.02,2.94,2.11
317,0.92,3.11,2.26
318,0.82,3.18,2.43
319,0.73,3.11,2.6
320,0.64,2.94,2.78
321,0.56,2.74,2.96
322,0.48,2.54,3.11
323,0.41,2.35,3.17
324,0.33,2.16,3.11
325,0.26,1.99,2.96
326,0.46,0.58,2.92
327,0.54,0.7,3.17
328,0.62,0.83,3.48
329,0.7,0.96,4.1
330,0.78,1.09,3.48
331,0.87,1.23,3.17
332,0.96,1.38,2.92
333,1.04,1.53,2.7
334,1.12,1.69,2.5
335,1.18,1.85,2.32
336,1.2,2.02,2.15
337,1.2,2.21,1.99
338,1.18,2.4,1.84
339,1.12,2.62,1.77
340,1.04,2.85,1.91
341,0.96,3.11,2.05
342,0.87,3.38,2.2
343,0.78,3.54,2.35
344,0.7,3.38,2.5
345,0.62,3.11,2.65
346,0.54,2.85,2.78
347,0.46,2.62,2.88
348,0.39,2.4,2.92
349,0.32,2.21,2.88
350,0.25,2.02,2.78
351,0.44,0.58,2.88
352,0.51,0.7,3.11
353,0.58,0.83,3.34
354,0.66,0.96,3.48
355,0.74,1.1,3.34
356,0.81,1.24,3.11
357,0.89,1.39,2.88
358,0.96,1.54,2.67
359,1.02,1.69,2.48
360,1.06,1.86,2.31
361,1.07,2.04,2.14
362,1.07,2.22,1.98
363,1.06,2.43,1.83
364,1.02,2.65,1.72
365,0.96,2.89,1.85
366,0.89,3.18,1.98
367,0.81,3.54,2.12
