id,m_cf1,m_cf2,m_cf3
1,3.52,1.87,3.92
2,3.81,1.85,4.13
3,4.14,1.82,4.34
4,4.58,1.77,4.64
5,5.6,1.71,4.95
6,4.58,1.65,5.26
7,4.14,1.59,5.57
8,3.81,1.52,5.86
9,3.52,1.45,6.13
10,3.27,1.38,6.32
11,3.04,1.31,6.4
12,2.83,1.24,6.32
13,2.63,1.17,6.13
14,2.45,1.1,5.86
15,2.27,1.03,5.57
16,2.11,0.96,5.26
17,1.95,0.89,4.95
18,1.79,0.82,4.64
19,1.65,0.82,4.34
20,1.5,0.83,4.05
21,1.37,0.84,3.76
22,1.23,0.84,3.48
23,1.1,0.84,3.2
24,0.97,0.83,2.94
25,0.85,0.82,2.67
26,3.49,1.94,4.13
27,3.76,1.92,4.36
28,4.06,1.88,4.58
29,4.38,1.82,4.77
30,4.58,1.75,5.08
31,4.38,1.69,5.42
32,4.06,1.62,5.77
33,3.76,1.55,6.13
34,3.49,1.48,6.48
35,3.24,1.4,6.76
36,3.02,1.33,6.89
37,2.81,1.26,6.76
38,2.62,1.19,6.48
39,2.44,1.12,6.13
40,2.26,1.05,5.77
41,2.1,0.98,5.42
42,1.94,0.9,5.08
43,1.79,0.88,4.75
44,1.64,0.89,4.43
45,1.5,0.9,4.13
46,1.36,0.91,3.83
47,1.23,0.91,3.54
48,1.1,0.91,3.26
49,0.97,0.9,2.99
50,0.85,0.89,2.72
51,3.4,2.02,4.32
52,3.63,1.99,4.58
53,3.86,1.92,4.82
54,4.06,1.85,5.05
55,4.14,1.78,5.26
56,4.06,1.71,5.53
57,3.86,1.63,5.91
58,3.63,1.56,6.32
59,3.4,1.49,6.76
60,3.18,1.42,7.21
61,2.97,1.34,7.47
62,2.77,1.27,7.21
63,2.59,1.2,6.76
64,2.41,1.13,6.32
65,2.24,1.05,5.91
66,2.08,0.98,5.53
67,1.92,0.93,5.17
68,1.77,0.95,4.82
69,1.63,0.96,4.49
70,1.48,0.98,4.18
71,1.35,0.98,3.87
72,1.22,0.98,3.58
73,1.09,0.98,3.3
74,0.96,0.98,3.02
75,0.84,0.96,2.75
76,3.27,2.1,4.49
77,3.46,2.02,4.77
78,3.63,1.94,5.05
79,3.76,1.87,5.32
80,3.81,1.79,5.57
81,3.76,1.71,5.77
82,3.63,1.64,5.96
83,3.46,1.57,6.4
84,3.27,1.49,6.89
85,3.08,1.42,7.47
86,2.89,1.35,8.5
87,2.71,1.27,7.47
88,2.53,1.2,6.89
89,2.36,1.13,6.4
90,2.2,1.06,5.96
91,2.04,0.98,5.57
92,1.89,0.99,5.2
93,1.74,1.02,4.85
94,1.6,1.03,4.51
95,1.46,1.05,4.2
96,1.33,1.05,3.89
97,1.2,1.06,3.59
98,1.07,1.05,3.31
99,0.95,1.05,3.03
100,0.82,1.03,2.76
101,3.12,2.02,4.64
102,3.27,1.99,4.95
103,3.4,1.92,5.26
104,3.49,1.85,5.57
105,3.52,1.78,5.86
106,3.49,1.71,6.13
107,3.4,1.63,6.32
108,3.27,1.56,6.4
109,3.12,1.49,6.76
110,2.95,1.42,7.21
111,2.79,1.34,7.47
112,2.62,1.27,7.21
113,2.46,1.2,6.76
114,2.3,1.13,6.32
115,2.14,1.05,5.91
116,1.99,1.03,5.53
117,1.85,1.06,5.17
118,1.7,1.09,4.82
119,1.57,1.1,4.49
120,1.43,1.12,4.18
121,1.3,1.13,3.87
122,1.17,1.13,3.58
123,1.05,1.13,3.3
124,0.92,1.12,3.02
125,0.8,1.1,2.75
126,2.95,1.94,4.75
127,3.08,1.92,5.08
128,3.18,1.88,5.42
129,3.24,1.82,5.77
130,3.27,1.75,6.13
131,3.24,1.69,6.48
132,3.18,1.62,6.76
133,3.08,1.55,6.89
134,2.95,1.48,6.76
135,2.81,1.4,6.76
136,2.67,1.33,6.89
137,2.52,1.26,6.76
138,2.37,1.19,6.48
139,2.22,1.12,6.13
140,2.08,1.06,5.77
141,1.93,1.1,5.42
142,1.79,1.13,5.08
143,1.66,1.15,4.75
144,1.52,1.17,4.43
145,1.39,1.19,4.13
146,1.26,1.2,3.83
147,1.14,1.2,3.54
148,1.01,1.2,3.26
149,0.89,1.19,2.99
150,0.78,1.17,2.72
151,2.79,1.87,4.82
152,2.89,1.85,5.17
153,2.97,1.82,5.53
154,3.02,1.77,5.91
155,3.04,1.71,6.32
156,3.02,1.65,6.76
157,2.97,1.59,7.21
158,2.89,1.52,7.47
159,2.79,1.45,7.21
160,2.67,1.38,6.76
161,2.54,1.31,6.4
162,2.41,1.24,6.32
163,2.27,1.17,6.13
164,2.14,1.1,5.86
165,2.0,1.13,5.57
166,1.86,1.16,5.26
167,1.73,1.2,4.95
168,1.6,1.22,4.64
169,1.47,1.24,4.34
170,1.34,1.26,4.05
171,1.22,1.27,3.76
172,1.1,1.27,3.48
173,0.98,1.27,3.2
174,0.86,1.26,2.94
175,0.75,1.24,2.67
176,2.62,1.79,5.08
177,2.71,1.78,5.2
178,2.77,1.75,5.57
179,2.81,1.71,5.96
180,2.83,1.67,6.4
181,2.81,1.61,6.89
182,2.77,1.55,7.47
183,2.71,1.49,8.5
184,2.62,1.42,7.47
185,2.52,1.36,6.89
186,2.41,1.29,6.4
187,2.29,1.22,5.96
188,2.17,1.15,5.77
189,2.04,1.14,5.57
190,1.91,1.19,5.32
191,1.79,1.23,5.05
192,1.66,1.26,4.77
193,1.54,1.29,4.49
194,1.41,1.31,4.21
195,1.29,1.33,3.93
196,1.17,1.34,3.66
197,1.05,1.35,3.39
198,0.94,1.34,3.13
199,0.82,1.33,2.87
200,0.71,1.31,2.61
