id,m_cf1,m_cf2,m_cf3
1,0.4,2.74,2.21
2,0.47,2.82,2.19
3,0.54,2.85,2.13
4,0.59,2.82,2.05
5,0.64,2.74,1.95
6,0.67,2.62,1.83
7,0.7,2.48,1.81
8,0.7,2.32,1.95
9,0.7,2.16,2.08
10,0.67,1.99,2.21
11,0.64,1.82,2.31
12,0.59,1.65,2.38
13,0.54,1.49,2.41
14,0.47,1.32,2.38
15,0.4,1.15,2.31
16,0.32,0.99,2.21
17,0.25,0.83,2.08
18,0.17,0.67,1.95
19,0.08,0.51,1.81
20,-0.0,0.35,1.67
21,0.49,2.94,2.41
22,0.57,3.05,2.38
23,0.65,3.09,2.31
24,0.71,3.05,2.21
25,0.77,2.94,2.08
26,0.81,2.79,1.95
27,0.83,2.62,1.9
28,0.84,2.44,2.05
29,0.83,2.26,2.21
30,0.81,2.08,2.36
31,0.77,1.9,2.49
32,0.71,1.72,2.59
33,0.65,1.55,2.63
34,0.57,1.37,2.59
35,0.49,1.2,2.49
36,0.41,1.03,2.36
37,0.32,0.87,2.21
38,0.24,0.71,2.05
39,0.15,0.55,1.9
40,0.06,0.39,1.74
41,0.59,3.13,2.63
42,0.67,3.29,2.59
43,0.76,3.35,2.49
44,0.83,3.29,2.36
45,0.9,3.13,2.21
46,0.95,2.94,2.05
47,0.98,2.74,1.96
48,0.99,2.54,2.13
49,0.98,2.34,2.31
50,0.95,2.15,2.49
51,0.9,1.96,2.67
52,0.83,1.77,2.82
53,0.76,1.59,2.88
54,0.67,1.41,2.82
55,0.59,1.24,2.67
56,0.49,1.07,2.49
57,0.4,0.9,2.31
58,0.31,0.73,2.13
59,0.21,0.57,1.96
60,0.12,0.41,1.8
61,0.67,3.29,2.88
62,0.77,3.52,2.82
63,0.87,3.65,2.67
64,0.96,3.52,2.49
65,1.03,3.29,2.31
66,1.09,3.05,2.13
67,1.13,2.82,2.01
68,1.15,2.6,2.19
69,1.13,2.39,2.38
70,1.09,2.19,2.59
71,1.03,1.99,2.82
72,0.96,1.8,3.06
73,0.87,1.62,3.2
74,0.77,1.44,3.06
75,0.67,1.26,2.82
76,0.57,1.09,2.59
77,0.47,0.92,2.38
78,0.37,0.75,2.19
79,0.27,0.59,2.01
80,0.17,0.42,1.83
81,0.76,3.35,3.2
82,0.87,3.65,3.06
83,0.98,4.1,2.82
84,1.08,3.65,2.59
85,1.17,3.35,2.38
86,1.25,3.09,2.19
87,1.3,2.85,2.02
88,1.32,2.62,2.21
89,1.3,2.41,2.41
90,1.25,2.2,2.63
91,1.17,2.0,2.88
92,1.08,1.81,3.2
93,0.98,1.63,3.8
94,0.87,1.44,3.2
95,0.76,1.27,2.88
96,0.65,1.09,2.63
97,0.54,0.92,2.41
98,0.43,0.76,2.21
99,0.32,0.59,2.02
100,0.22,0.43,1.85
101,0.83,3.29,3.8
102,0.96,3.52,3.2
103,1.08,3.65,2.88
104,1.2,3.52,2.63
105,1.32,3.29,2.41
106,1.42,3.05,2.21
107,1.48,2.82,2.02
108,1.51,2.6,2.19
109,1.48,2.39,2.38
110,1.42,2.19,2.59
111,1.32,1.99,2.82
112,1.2,1.8,3.06
113,1.08,1.62,3.2
114,0.96,1.44,3.06
115,0.83,1.26,2.82
116,0.71,1.09,2.59
117,0.59,0.92,2.38
118,0.48,0.75,2.19
119,0.36,0.59,2.01
120,0.26,0.42,1.83
121,0.9,3.13,3.2
122,1.03,3.29,3.06
123,1.17,3.35,2.82
124,1.32,3.29,2.59
125,1.46,3.13,2.38
126,1.59,2.94,2.19
127,1.69,2.74,2.01
128,1.72,2.54,2.13
129,1.69,2.34,2.31
130,1.59,2.15,2.49
131,1.46,1.96,2.67
132,1.32,1.77,2.82
133,1.17,1.59,2.88
134,1.03,1.41,2.82
135,0.9,1.24,2.67
136,0.77,1.07,2.49
137,0.64,0.9,2.31
138,0.52,0.73,2.13
139,0.4,0.57,1.96
140,0.29,0.41,1.8
141,0.95,2.94,2.88
142,1.09,3.05,2.82
143,1.25,3.09,2.67
144,1.42,3.05,2.49
145,1.59,2.94,2.31
146,1.76,2.79,2.13
147,1.91,2.62,1.96
148,1.98,2.44,2.05
149,1.91,2.26,2.21
150,1.76,2.08,2.36
151,1.59,1.9,2.49
152,1.42,1.72,2.59
153,1.25,1.55,2.63
154,1.09,1.37,2.59
155,0.95,1.2,2.49
156,0.81,1.03,2.36
157,0.67,0.87,2.21
158,0.55,0.71,2.05
159,0.43,0.55,1.9
160,0.31,0.39,1.74
161,0.98,2.74,2.63
162,1.13,2.82,2.59
163,1.3,2.85,2.49
164,1.48,2.82,2.36
165,1.69,2.74,2.21
166,1.91,2.62,2.05
167,2.16,2.48,1.9
168,2.31,2.32,1.95
169,2.16,2.16,2.08
170,1.91,1.99,2.21
171,1.69,1.82,2.31
172,1.48,1.65,2.38
173,1.3,1.49,2.41
174,1.13,1.32,2.38
175,0.98,1.15,2.31
176,0.83,0.99,2.21
177,0.7,0.83,2.08
178,0.57,0.67,1.95
179,0.44,0.51,1.81
180,0.32,0.35,1.67
181,0.99,2.54,2.41
182,1.15,2.6,2.38
183,1.32,2.62,2.31
184,1.51,2.6,2.21
185,1.72,2.54,2.08
186,1.98,2.44,1.95
187,2.31,2.32,1.81
188,3.1,2.19,1.83
189,2.31,2.04,1.95
190,1.98,1.89,2.05
191,1.72,1.73,2.13
192,1.51,1.57,2.19
193,1.32,1.41,2.21
194,1.15,1.25,2.19
195,0.99,1.09,2.13
196,0.84,0.93,2.05
197,0.7,0.78,1.95
198,0.57,0.62,1.83
199,0.45,0.47,1.71
200,0.33,0.31,1.59
201,0.98,2.34,2.21
202,1.13,2.39,2.19
203,1.3,2.41,2.13
204,1.48,2.39,2.05
205,1.69,2.34,1.95
206,1.91,2.26,1.83
207,2.16,2.16,1.71
208,2.31,2.04,1.71
209,2.16,1.91,1.81
210,1.91,1.77,1.9
211,1.69,1.63,1.96
212,1.48,1.48,2.01
213,1.3,1.33,2.02
214,1.13,1.17,2.01
215,0.98,1.02,1.96
216,0.83,0.87,1.9
217,0.7,0.72,1.81
218,0.57,0.57,1.71
219,0.44,0.41,1.61
220,0.32,0.27,1.49
221,0.95,2.15,2.02
222,1.09,2.19,2.01
223,1.25,2.2,1.96
224,1.42,2.19,1.9
225,1.59,2.15,1.81
226,1.76,2.08,1.71
227,1.91,1.99,1.61
228,1.98,1.89,1.59
229,1.91,1.77,1.67
230,1.76,1.65,1.74
231,1.59,1.51,1.8
232,1.42,1.37,1.83
233,1.25,1.23,1.85
234,1.09,1.09,1.83
235,0.95,0.94,1.8
236,0.81,0.79,1.74
237,0.67,0.65,1.67
238,0.55,0.5,1.59
239,0.43,0.35,1.49
240,0.31,0.21,1.39
241,0.9,1.96,1.85
242,1.03,1.99,1.83
243,1.17,2.0,1.8
244,1.32,1.99,1.74
245,1.46,1.96,1.67
246,1.59,1.9,1.59
247,1.69,1.82,1.49
248,1.72,1.73,1.46
249,1.69,1.63,1.53
250,1.59,1.51,1.6
251,1.46,1.39,1.64
252,1.32,1.26,1.67
253,1.17,1.13,1.68
254,1.03,0.99,1.67
255,0.9,0.85,1.64
256,0.77,0.71,1.6
257,0.64,0.57,1.53
258,0.52,0.43,1.46
259,0.4,0.29,1.38
260,0.29,0.15,1.28
261,0.83,1.77,1.68
