id,m_cf1,m_cf2,m_cf3
1,0.21,4.88,1.67
2,0.3,4.83,1.75
3,0.38,4.72,1.79
4,0.46,4.55,1.81
5,0.54,4.35,1.79
6,0.61,4.13,1.75
7,0.67,3.9,1.67
8,0.71,3.67,1.58
9,0.74,3.42,1.47
10,0.75,3.18,1.36
11,0.75,2.93,1.23
12,0.74,2.69,1.11
13,0.71,2.44,0.99
14,0.67,2.19,0.86
15,0.61,1.94,0.74
16,0.54,1.69,0.62
17,0.46,1.44,0.5
18,0.38,1.19,0.43
19,0.3,0.94,0.38
20,0.21,0.69,0.33
21,0.26,5.15,1.84
22,0.36,5.08,1.94
23,0.45,4.92,2.0
24,0.54,4.72,2.02
25,0.63,4.49,2.0
26,0.71,4.25,1.94
27,0.77,4.0,1.84
28,0.83,3.75,1.73
29,0.87,3.5,1.6
30,0.88,3.25,1.47
31,0.88,3.0,1.34
32,0.87,2.74,1.2
33,0.83,2.49,1.07
34,0.77,2.24,0.93
35,0.71,1.98,0.8
36,0.63,1.73,0.68
37,0.54,1.48,0.6
38,0.45,1.23,0.55
39,0.36,0.97,0.5
40,0.26,0.72,0.44
41,0.31,5.42,2.02
42,0.41,5.3,2.14
43,0.51,5.08,2.22
44,0.61,4.83,2.25
45,0.71,4.58,2.22
46,0.8,4.32,2.14
47,0.88,4.06,2.02
48,0.95,3.81,1.88
49,0.99,3.55,1.73
50,1.01,3.29,1.58
51,1.01,3.04,1.43
52,0.99,2.78,1.28
53,0.95,2.52,1.13
54,0.88,2.27,0.99
55,0.8,2.01,0.86
56,0.71,1.76,0.76
57,0.61,1.5,0.72
58,0.51,1.25,0.68
59,0.41,0.99,0.62
60,0.31,0.74,0.56
61,0.35,5.7,2.19
62,0.46,5.42,2.35
63,0.56,5.15,2.47
64,0.67,4.88,2.51
65,0.77,4.61,2.47
66,0.88,4.35,2.35
67,0.98,4.09,2.19
68,1.06,3.83,2.02
69,1.12,3.57,1.84
70,1.15,3.31,1.67
71,1.15,3.05,1.51
72,1.12,2.79,1.35
73,1.06,2.53,1.19
74,0.98,2.28,1.04
75,0.88,2.02,0.93
76,0.77,1.77,0.9
77,0.67,1.51,0.86
78,0.56,1.26,0.8
79,0.46,1.03,0.74
80,0.35,0.8,0.67
81,0.38,5.42,2.35
82,0.49,5.3,2.56
83,0.6,5.08,2.74
84,0.71,4.83,2.82
85,0.83,4.58,2.74
86,0.95,4.32,2.56
87,1.06,4.06,2.35
88,1.17,3.81,2.14
89,1.26,3.55,1.94
90,1.3,3.29,1.75
91,1.3,3.04,1.57
92,1.26,2.78,1.4
93,1.17,2.52,1.23
94,1.06,2.27,1.1
95,0.95,2.05,1.08
96,0.83,1.83,1.04
97,0.71,1.6,0.99
98,0.6,1.37,0.93
99,0.49,1.14,0.86
100,0.38,0.9,0.79
101,0.4,5.15,2.47
102,0.51,5.08,2.74
103,0.63,4.92,3.04
104,0.74,4.72,3.23
105,0.87,4.49,3.04
106,0.99,4.25,2.74
107,1.12,4.0,2.47
108,1.26,3.75,2.22
109,1.39,3.5,2.0
110,1.46,3.25,1.79
111,1.46,3.05,1.6
112,1.39,2.84,1.43
113,1.26,2.62,1.27
114,1.12,2.4,1.26
115,0.99,2.17,1.23
116,0.87,1.94,1.19
117,0.74,1.71,1.13
118,0.63,1.47,1.07
119,0.51,1.23,0.99
120,0.4,0.99,0.9
121,0.41,4.88,2.51
122,0.52,4.83,2.82
123,0.63,4.72,3.23
124,0.75,4.55,4.2
125,0.88,4.35,3.23
126,1.01,4.13,2.82
127,1.15,3.98,2.51
128,1.3,3.81,2.25
129,1.46,3.61,2.02
130,1.7,3.41,1.81
131,1.7,3.19,1.62
132,1.46,2.97,1.44
133,1.3,2.74,1.44
134,1.15,2.51,1.43
135,1.01,2.28,1.4
136,0.88,2.04,1.35
137,0.75,1.8,1.28
138,0.63,1.56,1.2
139,0.52,1.32,1.11
140,0.41,1.07,1.01
141,0.41,4.61,2.47
142,0.52,4.58,2.74
143,0.63,4.61,3.04
144,0.75,4.58,3.23
145,0.88,4.49,3.04
146,1.01,4.35,2.74
147,1.15,4.18,2.47
148,1.3,3.98,2.22
149,1.46,3.77,2.0
150,1.7,3.55,1.79
151,1.7,3.32,1.6
152,1.46,3.09,1.6
153,1.3,2.85,1.62
154,1.15,2.61,1.6
155,1.01,2.37,1.57
156,0.88,2.12,1.51
157,0.75,1.88,1.43
