id,m_cf1,m_cf2,m_cf3
1,0.76,2.45,1.87
2,0.92,2.46,1.91
3,1.06,2.45,1.94
4,1.2,2.43,1.94
5,1.33,2.4,1.94
6,1.45,2.35,1.91
7,1.55,2.29,1.87
8,1.64,2.22,1.81
9,1.7,2.14,1.75
10,1.74,2.05,1.73
11,1.75,1.96,1.75
12,1.75,1.85,1.76
13,1.74,1.74,1.75
14,1.7,1.62,1.73
15,1.64,1.66,1.7
16,1.55,1.74,1.65
17,1.45,1.81,1.59
18,1.33,1.87,1.52
19,1.2,1.92,1.44
20,1.06,1.96,1.35
21,0.92,1.98,1.25
22,0.76,2.0,1.16
23,0.6,2.01,1.05
24,0.44,2.0,0.95
25,0.28,1.98,0.84
26,0.9,2.69,2.05
27,1.06,2.7,2.09
28,1.22,2.69,2.12
29,1.38,2.67,2.13
30,1.52,2.63,2.12
31,1.65,2.58,2.09
32,1.76,2.52,2.05
33,1.86,2.44,1.99
34,1.93,2.35,1.91
35,1.97,2.26,1.91
36,1.99,2.15,1.94
37,1.99,2.04,1.94
38,1.97,1.92,1.94
39,1.93,1.79,1.91
40,1.86,1.85,1.87
41,1.76,1.94,1.81
42,1.65,2.01,1.75
43,1.52,2.08,1.67
44,1.38,2.13,1.58
45,1.22,2.18,1.48
46,1.06,2.21,1.38
47,0.9,2.22,1.28
48,0.73,2.23,1.17
49,0.56,2.22,1.05
50,0.39,2.21,0.94
51,1.03,2.93,2.23
52,1.2,2.94,2.29
53,1.38,2.93,2.32
54,1.54,2.91,2.33
55,1.7,2.87,2.32
56,1.84,2.81,2.29
57,1.97,2.74,2.23
58,2.08,2.66,2.16
59,2.17,2.57,2.08
60,2.22,2.46,2.09
61,2.24,2.35,2.12
62,2.24,2.22,2.13
63,2.22,2.1,2.12
64,2.17,1.96,2.09
65,2.08,2.05,2.05
66,1.97,2.14,1.99
67,1.84,2.22,1.91
68,1.7,2.29,1.82
69,1.54,2.35,1.72
70,1.38,2.4,1.62
71,1.2,2.43,1.51
72,1.03,2.45,1.39
73,0.85,2.46,1.28
74,0.67,2.45,1.16
75,0.49,2.43,1.03
76,1.15,3.18,2.43
77,1.33,3.19,2.49
78,1.52,3.18,2.53
79,1.7,3.15,2.54
80,1.87,3.11,2.53
81,2.04,3.05,2.49
82,2.18,2.97,2.43
83,2.31,2.88,2.34
84,2.41,2.78,2.24
85,2.47,2.67,2.29
86,2.5,2.54,2.32
87,2.5,2.41,2.33
88,2.47,2.28,2.32
89,2.41,2.15,2.29
90,2.31,2.26,2.23
91,2.18,2.35,2.16
92,2.04,2.44,2.08
93,1.87,2.52,1.98
94,1.7,2.58,1.87
95,1.52,2.63,1.75
96,1.33,2.67,1.63
97,1.15,2.69,1.51
98,0.96,2.7,1.38
99,0.77,2.69,1.25
100,0.58,2.67,1.13
101,1.25,3.44,2.62
102,1.45,3.45,2.7
103,1.65,3.44,2.74
104,1.84,3.41,2.76
105,2.04,3.36,2.74
106,2.22,3.29,2.7
107,2.39,3.21,2.62
108,2.54,3.11,2.53
109,2.66,3.0,2.43
110,2.74,2.87,2.49
111,2.77,2.74,2.53
112,2.77,2.6,2.54
