id,m_cf1,m_cf2,m_cf3
1,0.43,-0.0,1.57
2,0.51,0.13,1.66
3,0.6,0.25,1.76
4,0.68,0.38,1.85
5,0.75,0.5,1.95
6,0.82,0.62,2.04
7,0.88,0.73,2.13
8,0.92,0.85,2.18
9,0.96,0.96,2.13
10,0.98,1.06,2.04
11,0.99,1.16,1.95
12,0.99,1.26,2.04
13,0.98,1.35,2.13
14,0.96,1.43,2.18
15,0.92,1.5,2.13
16,0.88,1.57,2.04
17,0.82,1.62,1.95
18,0.75,1.67,1.85
19,0.68,1.7,1.76
20,0.6,1.72,1.66
21,0.51,1.73,1.57
22,0.43,1.72,1.47
23,0.34,1.7,1.38
24,0.25,1.67,1.29
25,0.15,1.62,1.2
26,0.5,0.07,1.57
27,0.6,0.2,1.67
28,0.69,0.33,1.77
29,0.77,0.46,1.86
30,0.86,0.58,1.97
31,0.93,0.71,2.07
32,1.0,0.83,2.18
33,1.05,0.95,2.3
34,1.1,1.06,2.18
35,1.12,1.17,2.07
36,1.13,1.28,1.97
37,1.13,1.38,2.07
38,1.12,1.48,2.18
39,1.1,1.56,2.3
40,1.05,1.64,2.18
41,1.0,1.71,2.07
42,0.93,1.77,1.97
43,0.86,1.82,1.86
44,0.77,1.86,1.77
45,0.69,1.88,1.67
46,0.6,1.88,1.57
47,0.5,1.88,1.48
48,0.41,1.86,1.39
49,0.31,1.82,1.29
50,0.22,1.77,1.2
51,0.58,0.14,1.57
52,0.68,0.28,1.66
53,0.77,0.41,1.76
54,0.87,0.54,1.85
55,0.96,0.67,1.95
56,1.05,0.79,2.04
57,1.12,0.92,2.13
58,1.19,1.04,2.18
59,1.23,1.16,2.13
60,1.27,1.28,2.04
61,1.28,1.39,1.95
62,1.28,1.5,2.04
63,1.27,1.6,2.13
64,1.23,1.69,2.18
65,1.19,1.78,2.13
66,1.12,1.86,2.04
67,1.05,1.92,1.95
68,0.96,1.97,1.85
69,0.87,2.01,1.76
70,0.77,2.04,1.66
71,0.68,2.04,1.57
72,0.58,2.04,1.47
73,0.47,2.01,1.38
74,0.37,1.97,1.29
75,0.27,1.92,1.2
76,0.64,0.21,1.55
77,0.75,0.34,1.64
78,0.86,0.48,1.73
79,0.96,0.61,1.82
80,1.06,0.74,1.9
81,1.16,0.88,1.98
82,1.24,1.01,2.04
83,1.32,1.13,2.07
84,1.38,1.26,2.04
85,1.42,1.38,1.98
86,1.43,1.5,1.9
87,1.43,1.61,1.98
88,1.42,1.72,2.04
89,1.38,1.82,2.07
90,1.32,1.91,2.04
91,1.24,2.0,1.98
92,1.16,2.07,1.9
93,1.06,2.13,1.82
94,0.96,2.17,1.73
95,0.86,2.2,1.64
96,0.75,2.2,1.55
97,0.64,2.2,1.46
