id,cf1,cf2,cf3
1,0.36,0.0,1.69
2,0.6,0.13,1.26
3,0.32,0.22,1.25
4,0.42,0.4,2.26
5,0.53,0.51,1.24
6,0.7,0.54,1.96
7,1.04,0.74,1.09
8,1.21,0.89,2.4
9,0.88,1.11,2.38
10,1.01,0.61,2.07
11,0.98,1.15,1.74
12,1.11,1.1,1.82
13,0.65,1.35,2.16
14,0.98,0.96,2.17
15,0.58,1.67,2.33
16,1.03,1.66,1.68
17,0.92,1.68,1.44
18,0.78,1.65,1.31
19,0.57,1.75,1.86
20,0.72,1.38,1.52
21,0.58,1.78,1.51
22,0.54,1.4,1.69
23,0.42,1.48,1.59
24,0.25,1.87,1.92
25,0.19,1.57,1.11
26,0.35,0.06,1.61
27,0.49,0.26,1.91
28,0.53,0.32,1.65
29,0.3,0.54,1.32
30,0.69,0.64,2.14
31,0.89,0.47,1.78
32,0.79,0.74,2.02
33,1.41,0.85,2.19
34,1.05,0.94,2.45
35,0.87,0.92,2.33
36,0.85,1.89,2.03
37,1.27,1.11,2.17
38,1.27,1.21,2.37
39,1.18,1.32,2.7
40,0.68,1.07,2.41
41,0.93,1.88,1.71
42,0.82,1.67,1.72
43,0.5,1.66,1.95
44,0.88,1.67,1.97
45,0.59,0.99,1.37
46,0.69,2.22,1.52
47,0.37,1.85,1.03
48,0.3,1.79,1.16
49,0.27,1.81,1.41
50,0.27,2.39,1.21
51,0.4,0.14,1.25
52,0.9,0.21,1.84
53,0.89,0.42,1.66
54,0.72,0.5,2.12
55,1.08,0.48,2.37
56,0.68,0.54,2.02
57,0.9,1.31,2.76
58,0.94,1.12,1.63
59,0.71,0.81,1.82
60,0.88,1.0,1.76
61,1.21,0.93,1.97
62,1.2,1.48,2.27
63,1.39,1.32,1.84
64,1.28,1.1,2.43
65,1.27,1.42,2.69
66,0.89,1.89,2.2
67,1.33,2.26,1.09
68,1.16,2.69,2.22
69,0.99,2.37,1.5
70,0.75,1.44,1.46
71,0.7,1.84,1.63
72,0.55,2.14,1.09
73,0.32,2.01,1.22
74,0.33,2.09,1.23
75,0.31,1.99,1.3
76,0.4,0.2,1.64
77,0.56,0.37,1.51
78,1.07,0.43,2.12
79,0.95,0.47,2.08
80,1.3,0.59,2.29
81,1.05,1.04,1.97
82,1.03,1.33,2.47
83,1.04,0.97,2.63
84,1.96,1.56,1.98
85,1.2,1.4,2.08
86,1.27,1.56,2.35
87,1.29,1.95,1.83
88,1.1,1.94,1.92
89,1.27,1.39,1.27
90,1.47,2.18,2.15
91,1.32,0.96,1.7
92,1.17,2.18,2.21
93,1.13,2.1,2.31
94,0.97,3.28,1.82
95,0.76,2.62,1.62
96,0.72,3.27,1.44
97,0.72,2.61,1.36
98,0.4,2.37,1.29
99,0.37,2.25,1.54
100,0.27,1.78,1.44
101,0.51,0.29,1.57
102,0.81,0.31,1.42
103,1.01,0.49,2.79
104,0.9,0.59,1.49
105,0.93,0.93,1.17
106,1.41,0.53,1.65
107,1.38,1.13,2.19
108,1.48,0.79,1.39
109,1.72,1.19,2.08
110,1.95,1.56,1.93
111,0.96,1.73,1.66
112,1.53,2.34,1.77
113,1.93,2.1,1.93
114,1.86,1.92,2.19
115,1.26,1.86,1.91
116,1.77,2.71,2.12
117,1.45,2.64,1.5
118,1.46,2.78,1.9
119,1.37,3.56,1.66
120,0.87,2.9,1.98
121,0.47,2.28,0.91
122,0.4,2.67,1.32
123,0.46,2.97,1.51
124,0.46,2.32,0.83
125,0.29,2.0,1.06
126,0.75,0.3,1.82
127,0.64,0.46,1.7
128,1.18,0.7,1.8
129,0.45,0.31,1.4
130,0.92,0.86,1.68
131,1.26,1.18,1.29
132,1.23,1.05,1.55
133,1.9,1.13,2.03
134,1.59,1.58,1.95
135,0.88,1.62,2.07
136,1.27,1.72,2.14
137,1.59,2.04,1.65
138,2.26,1.33,2.13
139,2.11,1.78,1.36
140,1.72,2.71,1.81
141,1.26,2.51,1.71
142,1.32,2.55,1.83
143,0.8,1.59,1.99
144,1.29,2.14,1.66
145,1.2,2.77,1.95
146,0.84,2.11,1.54
147,0.61,2.5,1.48
148,0.68,2.12,1.53
149,0.58,1.99,1.0
150,0.33,1.42,1.05
151,0.98,0.46,1.39
152,1.09,0.55,1.7
153,0.84,0.77,1.6
154,0.99,0.62,2.49
155,1.35,1.05,1.42
156,1.16,0.86,1.13
157,1.46,1.28,1.84
158,1.53,1.73,2.27
159,0.71,1.52,2.1
160,1.88,1.92,1.54
161,2.23,1.48,1.71
162,2.02,2.36,1.72
163,2.3,1.97,1.82
164,2.6,2.24,1.72
165,1.84,1.45,2.02
166,1.54,2.28,1.06
167,1.74,1.62,1.94
168,1.35,3.11,1.15
169,1.33,2.07,1.27
170,0.75,2.54,1.83
171,0.89,2.98,1.12
172,0.92,2.78,1.34
173,0.49,3.46,1.42
174,0.48,2.14,1.42
175,0.43,2.67,0.82
176,0.82,0.44,1.65
177,0.87,0.51,1.14
178,1.07,0.68,0.95
179,0.95,0.9,1.29
180,1.24,0.93,1.42
181,1.12,1.04,1.78
182,1.06,1.63,1.92
183,1.89,1.54,1.31
184,1.86,2.42,1.54
185,2.06,1.37,1.33
186,2.77,1.18,1.65
187,2.2,2.12,1.83
188,2.58,3.15,1.92
189,2.32,1.36,1.5
190,1.47,2.29,1.52
191,1.74,2.7,2.13
192,1.37,2.6,2.07
193,1.2,2.0,1.3
194,1.1,2.74,1.69
195,1.3,2.07,1.68
196,0.64,3.17,1.23
197,0.71,2.85,1.17
198,0.78,2.71,1.41
199,0.4,3.34,0.68
200,0.52,2.46,0.87
201,0.61,0.35,1.04
202,0.85,0.69,1.35
203,1.52,0.74,0.99
204,1.35,0.84,1.42
205,0.95,1.09,1.18
206,1.52,1.67,1.56
207,1.85,1.17,1.67
208,1.98,1.21,1.5
209,2.56,1.93,0.66
210,1.88,1.39,1.52
211,2.63,1.53,1.03
212,2.71,1.69,1.54
213,3.06,1.13,1.88
214,2.23,1.7,1.55
215,1.59,2.82,1.89
216,2.02,1.93,0.88
217,1.05,2.87,1.64
218,1.52,2.18,1.87
219,1.23,3.26,0.86
220,1.01,3.6,1.58
221,1.26,2.85,1.55
222,0.75,3.04,1.31
223,0.58,2.73,1.06
224,0.46,2.09,0.99
225,0.55,3.44,1.15
226,0.46,0.41,1.43
227,0.74,0.32,1.3
228,1.11,0.81,0.8
229,1.21,0.75,1.18
230,1.93,0.92,1.37
231,2.07,1.14,1.09
232,1.58,1.2,1.01
233,2.17,1.45,1.55
234,3.13,2.05,1.71
235,2.16,1.95,2.18
236,1.45,2.29,1.55
237,2.45,2.59,1.66
238,1.92,2.57,0.91
239,1.65,2.56,1.92
240,1.66,2.7,1.38
241,1.8,2.06,1.25
242,1.63,1.97,1.75
243,1.23,2.34,0.91
244,1.62,2.69,1.26
245,1.06,2.93,1.49
246,0.84,4.56,0.84
247,0.99,2.88,0.79
248,0.72,4.35,0.92
249,0.51,2.77,0.83
250,0.52,3.82,1.27
251,0.96,0.5,1.12
252,0.84,0.81,1.32
253,1.46,0.85,1.32
254,1.0,1.4,1.26
255,1.58,1.34,0.8
256,1.57,1.25,1.14
257,2.26,1.42,1.3
258,1.89,2.01,1.18
259,1.78,1.55,1.4
260,3.08,1.7,1.73
261,2.53,1.91,1.23
262,2.95,2.5,1.61
263,2.02,1.89,1.8
264,2.38,1.69,1.54
265,1.7,2.12,1.52
266,1.8,3.69,1.46
267,1.7,2.91,1.67
268,1.63,3.2,1.31
269,1.34,2.31,1.2
270,1.22,3.07,1.5
271,1.09,3.45,1.09
272,0.33,3.31,1.4
273,0.54,2.38,1.07
274,0.53,3.47,0.81
275,0.49,2.09,1.09
276,0.86,0.38,0.99
277,0.76,0.56,1.39
278,1.25,0.89,0.69
279,1.32,0.89,1.86
280,1.07,1.03,1.19
281,1.04,0.99,1.27
282,2.08,0.86,0.96
283,2.36,1.32,1.51
284,1.85,1.48,1.85
285,2.91,1.66,1.47
286,2.06,1.69,1.02
