id,m_cf1,m_cf2,m_cf3
1,0.37,8.44,0.95
2,0.53,8.93,1.12
3,0.69,9.19,1.27
4,0.84,8.93,1.4
5,0.99,8.44,1.51
6,1.13,7.92,1.59
7,1.25,7.42,1.68
8,1.34,6.92,1.8
9,1.4,6.44,1.89
10,1.43,5.98,1.95
11,1.43,5.52,1.97
12,1.4,5.07,1.95
13,1.34,4.63,1.89
14,1.25,4.19,1.8
15,1.13,3.77,1.68
16,0.99,3.35,1.53
17,0.84,2.93,1.36
18,0.69,2.52,1.17
19,0.53,2.11,0.98
20,0.37,1.71,0.78
21,0.47,8.57,1.17
22,0.64,9.19,1.36
23,0.82,10.0,1.53
24,0.99,9.19,1.68
25,1.16,8.57,1.8
26,1.32,8.01,1.89
27,1.47,7.48,1.95
28,1.59,6.97,2.1
29,1.66,6.48,2.21
30,1.69,6.01,2.28
31,1.69,5.55,2.31
32,1.66,5.09,2.28
33,1.59,4.65,2.21
34,1.47,4.21,2.1
35,1.32,3.78,1.95
36,1.16,3.36,1.78
37,0.99,2.94,1.59
38,0.82,2.53,1.39
39,0.64,2.13,1.17
40,0.47,1.72,0.95
41,0.56,8.44,1.39
42,0.75,8.93,1.59
43,0.94,9.19,1.78
44,1.13,8.93,1.95
45,1.32,8.44,2.1
46,1.51,7.92,2.21
47,1.69,7.42,2.28
48,1.84,6.92,2.41
49,1.94,6.44,2.54
50,1.98,5.98,2.63
51,1.98,5.52,2.66
52,1.94,5.07,2.63
53,1.84,4.63,2.54
54,1.69,4.19,2.41
55,1.51,3.77,2.23
56,1.32,3.35,2.04
57,1.13,2.93,1.82
58,0.94,2.52,1.59
59,0.75,2.11,1.36
60,0.56,1.71,1.12
61,0.63,8.11,1.59
62,0.83,8.44,1.82
63,1.04,8.57,2.04
64,1.25,8.44,2.23
65,1.47,8.11,2.41
66,1.69,7.69,2.54
67,1.91,7.24,2.63
68,2.11,6.78,2.72
69,2.25,6.33,2.89
70,2.31,5.88,3.0
71,2.31,5.43,3.03
72,2.25,5.0,3.0
73,2.11,4.56,2.89
74,1.91,4.14,2.72
75,1.69,3.71,2.51
76,1.47,3.3,2.28
77,1.25,2.89,2.04
78,1.04,2.48,1.78
79,0.83,2.08,1.53
80,0.63,1.68,1.27
81,0.69,7.69,1.78
82,0.9,7.92,2.04
83,1.11,8.01,2.28
84,1.34,7.92,2.51
85,1.59,7.69,2.72
86,1.84,7.36,2.89
87,2.11,6.97,3.0
88,2.37,6.57,3.03
89,2.6,6.15,3.24
90,2.7,5.72,3.39
91,2.7,5.3,3.44
92,2.6,4.88,3.39
93,2.37,4.46,3.24
94,2.11,4.04,3.03
95,1.84,3.63,2.78
96,1.59,3.22,2.51
97,1.34,2.81,2.23
98,1.11,2.41,1.95
99,0.9,2.01,1.68
100,0.69,1.62,1.4
101,0.72,7.24,1.95
102,0.94,7.42,2.23
103,1.16,7.48,2.51
104,1.4,7.42,2.78
105,1.66,7.24,3.03
106,1.94,6.97,3.24
107,2.25,6.65,3.39
108,2.6,6.29,3.44
109,2.97,5.91,3.61
110,3.19,5.52,3.82
111,3.19,5.12,3.89
112,2.97,4.72,3.82
113,2.6,4.31,3.61
114,2.25,3.91,3.34
115,1.94,3.51,3.03
116,1.66,3.11,2.72
117,1.4,2.71,2.41
118,1.16,2.32,2.1
