id,m_cf1,m_cf2,m_cf3
1,0.72,-0.0,2.97
2,1.04,0.29,3.09
3,1.35,0.58,3.17
4,1.65,0.85,3.2
5,1.94,1.1,3.17
6,2.21,1.34,3.09
7,2.44,1.55,2.97
8,2.63,1.74,2.83
9,2.74,1.89,2.66
10,2.78,2.0,2.48
11,2.78,2.07,2.61
12,2.74,2.09,2.85
13,2.63,2.07,3.09
14,2.44,2.0,3.35
15,2.21,1.89,3.61
16,1.94,1.74,3.86
17,1.65,1.55,4.07
18,1.35,1.34,4.16
19,1.04,1.1,4.07
20,0.72,0.85,3.86
21,0.92,0.24,3.2
22,1.26,0.55,3.35
23,1.6,0.85,3.45
24,1.94,1.14,3.49
25,2.27,1.42,3.45
26,2.59,1.68,3.35
27,2.87,1.91,3.2
28,3.1,2.12,3.02
29,3.25,2.29,2.83
30,3.3,2.41,2.63
31,3.3,2.49,2.66
32,3.25,2.52,2.91
33,3.1,2.49,3.17
34,2.87,2.41,3.45
35,2.59,2.29,3.75
36,2.27,2.12,4.07
37,1.94,1.91,4.4
38,1.6,1.68,4.6
39,1.26,1.42,4.4
40,0.92,1.14,4.07
41,1.1,0.46,3.41
42,1.46,0.78,3.61
43,1.83,1.1,3.75
44,2.21,1.42,3.8
45,2.59,1.72,3.75
46,2.96,2.0,3.61
47,3.3,2.26,3.41
48,3.59,2.49,3.2
49,3.79,2.69,2.97
50,3.87,2.84,2.75
51,3.87,2.93,2.68
52,3.79,2.96,2.93
53,3.59,2.93,3.2
54,3.3,2.84,3.49
55,2.96,2.69,3.8
56,2.59,2.49,4.16
57,2.21,2.26,4.6
58,1.83,2.0,5.4
59,1.46,1.72,4.6
60,1.1,1.42,4.16
61,1.24,0.65,3.61
62,1.63,1.0,3.86
63,2.03,1.34,4.07
64,2.44,1.68,4.16
65,2.87,2.0,4.07
66,3.3,2.31,3.86
67,3.72,2.6,3.61
68,4.11,2.87,3.35
69,4.39,3.09,3.09
70,4.5,3.26,2.85
71,4.5,3.37,2.66
72,4.39,3.41,2.91
73,4.11,3.37,3.17
74,3.72,3.26,3.45
75,3.3,3.09,3.75
76,2.87,2.87,4.07
77,2.44,2.6,4.4
78,2.03,2.31,4.6
79,1.63,2.0,4.4
80,1.24,1.68,4.07
81,1.35,0.83,3.75
82,1.75,1.19,4.07
83,2.18,1.55,4.4
84,2.63,1.91,4.6
85,3.1,2.26,4.4
86,3.59,2.6,4.07
87,4.11,2.93,3.75
88,4.62,3.23,3.45
89,5.06,3.49,3.17
90,5.25,3.7,2.91
91,5.25,3.83,2.66
92,5.06,3.88,2.85
93,4.62,3.83,3.09
94,4.11,3.7,3.35
95,3.59,3.49,3.61
96,3.1,3.23,3.86
97,2.63,2.93,4.07
98,2.18,2.6,4.16
99,1.75,2.26,4.07
100,1.35,1.91,3.86
101,1.41,0.98,3.8
102,1.83,1.36,4.16
103,2.27,1.74,4.6
104,2.74,2.12,5.4
105,3.25,2.49,4.6
106,3.79,2.87,4.16
107,4.39,3.23,3.8
108,5.06,3.57,3.49
109,5.77,3.88,3.2
110,6.2,4.14,2.93
111,6.2,4.31,2.68
112,5.77,4.37,2.75
113,5.06,4.31,2.97
114,4.39,4.14,3.2
115,3.79,3.88,3.41
116,3.25,3.57,3.61
117,2.74,3.23,3.75
118,2.27,2.87,3.8
119,1.83,2.49,3.75
120,1.41,2.12,3.61
121,1.44,1.1,3.75
