id,cf1,cf2,cf3
1,0.78,0.0,3.1
2,1.12,0.31,3.02
3,1.1,0.53,3.07
4,1.31,0.94,2.38
5,1.3,0.85,3.92
6,2.52,1.55,3.27
7,2.83,1.47,2.77
8,3.31,2.39,3.38
9,3.36,1.7,2.07
10,2.96,0.95,2.29
11,2.76,2.51,2.11
12,3.33,1.89,3.22
13,1.27,2.85,3.03
14,1.77,2.1,3.33
15,2.18,1.7,2.9
16,1.73,1.78,3.47
17,1.46,1.48,3.62
18,1.45,1.15,4.55
19,1.11,1.23,4.81
20,0.52,1.0,2.93
21,0.98,0.22,3.33
22,1.05,0.52,2.5
23,1.46,1.25,3.38
24,1.6,0.8,4.33
25,1.8,0.55,2.27
26,2.2,1.64,4.09
27,3.3,1.94,2.38
28,3.66,2.25,4.12
29,3.1,1.9,3.02
30,2.87,1.96,2.37
31,3.33,2.54,2.77
32,0.95,2.91,1.6
33,2.78,2.83,3.81
34,2.75,2.27,3.92
35,2.8,2.43,3.67
36,2.05,1.85,4.1
37,1.88,2.21,3.44
38,1.36,1.4,5.16
39,0.83,1.17,5.85
40,1.04,1.06,3.5
41,1.2,0.44,3.67
42,1.75,0.95,3.78
43,2.17,1.47,3.78
44,1.67,1.49,4.25
45,2.36,2.3,3.3
46,1.99,1.99,4.75
47,2.73,1.59,1.69
48,4.19,2.89,4.16
49,2.84,1.99,3.72
50,3.78,2.21,3.26
51,4.93,3.23,2.87
52,3.61,3.73,2.41
53,4.57,3.66,3.23
54,2.83,2.82,2.75
55,3.46,3.04,4.52
56,2.85,2.26,4.4
57,1.76,2.05,5.9
58,1.42,1.53,5.37
59,1.59,1.37,6.12
60,1.14,1.21,2.99
61,1.36,0.51,3.13
62,2.38,0.94,3.88
63,2.09,1.33,4.53
64,2.73,1.78,4.16
65,2.91,2.08,4.61
66,3.29,2.23,3.34
67,5.28,2.67,4.22
68,5.67,3.26,3.71
69,4.84,1.98,2.66
70,3.48,3.13,2.18
71,3.46,2.56,2.02
