id,m_cf1,m_cf2,m_cf3
1,0.63,2.5,0.43
2,0.9,2.68,0.44
3,1.16,2.86,0.44
4,1.4,3.04,0.44
5,1.64,3.2,0.43
6,1.85,3.34,0.42
7,2.02,3.45,0.41
8,2.16,3.53,0.39
9,2.25,3.55,0.37
10,2.28,3.53,0.34
11,2.28,3.45,0.36
12,2.25,3.34,0.39
13,2.16,3.2,0.42
14,2.02,3.04,0.45
15,1.85,2.86,0.48
16,1.64,2.68,0.5
17,1.4,2.5,0.52
18,1.16,2.31,0.54
19,0.9,2.12,0.54
20,0.63,1.93,0.55
21,0.8,2.61,0.48
22,1.08,2.81,0.49
23,1.36,3.0,0.49
24,1.64,3.2,0.49
25,1.89,3.38,0.48
26,2.13,3.55,0.47
27,2.34,3.69,0.45
28,2.51,3.79,0.43
29,2.62,3.82,0.41
30,2.66,3.79,0.38
31,2.66,3.69,0.39
32,2.62,3.55,0.43
33,2.51,3.38,0.46
34,2.34,3.2,0.49
35,2.13,3.0,0.52
36,1.89,2.81,0.55
37,1.64,2.61,0.57
38,1.36,2.41,0.59
39,1.08,2.21,0.6
40,0.8,2.01,0.6
41,0.95,2.7,0.54
42,1.25,2.91,0.54
43,1.55,3.12,0.55
44,1.85,3.34,0.54
45,2.13,3.55,0.54
46,2.41,3.75,0.52
47,2.66,3.93,0.5
48,2.86,4.06,0.48
49,3.0,4.1,0.45
50,3.05,4.06,0.42
51,3.05,3.93,0.42
52,3.0,3.75,0.46
53,2.86,3.55,0.5
54,2.66,3.34,0.54
55,2.41,3.12,0.57
56,2.13,2.91,0.6
57,1.85,2.7,0.62
58,1.55,2.48,0.64
59,1.25,2.28,0.66
60,0.95,2.15,0.66
61,1.07,2.76,0.59
62,1.38,2.99,0.6
63,1.7,3.22,0.6
64,2.02,3.45,0.6
65,2.34,3.69,0.59
66,2.66,3.93,0.57
67,2.95,4.16,0.55
68,3.21,4.34,0.52
69,3.39,4.42,0.49
70,3.46,4.34,0.46
71,3.46,4.16,0.45
72,3.39,3.93,0.49
73,3.21,3.69,0.54
74,2.95,3.45,0.58
75,2.66,3.22,0.61
76,2.34,2.99,0.65
77,2.02,2.76,0.68
78,1.7,2.54,0.7
79,1.38,2.37,0.72
80,1.07,2.36,0.72
81,1.16,2.81,0.64
82,1.49,3.04,0.66
83,1.82,3.28,0.66
84,2.16,3.53,0.66
85,2.51,3.79,0.64
86,2.86,4.06,0.62
87,3.21,4.34,0.6
88,3.53,4.62,0.57
89,3.8,4.77,0.54
90,3.91,4.62,0.5
91,3.91,4.34,0.48
92,3.8,4.06,0.52
93,3.53,3.79,0.57
94,3.21,3.53,0.61
95,2.86,3.28,0.66
96,2.51,3.04,0.7
97,2.16,2.81,0.73
98,1.82,2.58,0.76
99,1.49,2.59,0.78
100,1.16,2.58,0.78
101,1.21,2.82,0.7
102,1.55,3.05,0.72
103,1.89,3.3,0.72
104,2.25,3.55,0.72
105,2.62,3.82,0.7
106,3.0,4.1,0.68
107,3.39,4.42,0.65
108,3.8,4.77,0.61
109,4.19,5.3,0.58
110,4.41,4.77,0.54
111,4.41,4.42,0.5
112,4.19,4.1,0.55
113,3.8,3.82,0.6
114,3.39,3.55,0.65
115,3.0,3.3,0.7
116,2.62,3.05,0.74
117,2.25,2.82,0.78
