id,xloc,yloc
1,1.0,1.0
2,2.0,1.0
3,3.0,1.0
4,4.0,1.0
5,5.0,1.0
6,6.0,1.0
7,7.0,1.0
8,8.0,1.0
9,9.0,1.0
10,10.0,1.0
11,11.0,1.0
12,12.0,1.0
13,13.0,1.0
14,14.0,1.0
15,15.0,1.0
16,16.0,1.0
17,17.0,1.0
18,18.0,1.0
19,19.0,1.0
20,20.0,1.0
21,1.0,2.0
22,2.0,2.0
23,3.0,2.0
24,4.0,2.0
25,5.0,2.0
26,6.0,2.0
27,7.0,2.0
28,8.0,2.0
29,9.0,2.0
30,10.0,2.0
31,11.0,2.0
32,12.0,2.0
33,13.0,2.0
34,14.0,2.0
35,15.0,2.0
36,16.0,2.0
37,17.0,2.0
38,18.0,2.0
39,19.0,2.0
40,20.0,2.0
41,1.0,3.0
42,2.0,3.0
43,3.0,3.0
44,4.0,3.0
45,5.0,3.0
46,6.0,3.0
47,7.0,3.0
48,8.0,3.0
49,9.0,3.0
50,10.0,3.0
51,11.0,3.0
52,12.0,3.0
53,13.0,3.0
54,14.0,3.0
55,15.0,3.0
56,16.0,3.0
57,17.0,3.0
58,18.0,3.0
59,19.0,3.0
60,20.0,3.0
61,1.0,4.0
62,2.0,4.0
63,3.0,4.0
64,4.0,4.0
65,5.0,4.0
66,6.0,4.0
67,7.0,4.0
68,8.0,4.0
69,9.0,4.0
70,10.0,4.0
71,11.0,4.0
72,12.0,4.0
73,13.0,4.0
74,14.0,4.0
75,15.0,4.0
76,16.0,4.0
77,17.0,4.0
78,18.0,4.0
79,19.0,4.0
80,20.0,4.0
81,1.0,5.0
82,2.0,5.0
83,3.0,5.0
84,4.0,5.0
85,5.0,5.0
86,6.0,5.0
87,7.0,5.0
88,8.0,5.0
89,9.0,5.0
90,10.0,5.0
91,11.0,5.0
92,12.0,5.0
93,13.0,5.0
94,14.0,5.0
95,15.0,5.0
96,16.0,5.0
97,17.0,5.0
98,18.0,5.0
99,19.0,5.0
100,20.0,5.0
101,1.0,6.0
102,2.0,6.0
103,3.0,6.0
104,4.0,6.0
105,5.0,6.0
106,6.0,6.0
107,7.0,6.0
108,8.0,6.0
109,9.0,6.0
110,10.0,6.0
111,11.0,6.0
112,12.0,6.0
113,13.0,6.0
114,14.0,6.0
115,15.0,6.0
116,16.0,6.0
117,17.0,6.0
118,18.0,6.0
119,19.0,6.0
120,20.0,6.0
121,1.0,7.0
122,2.0,7.0
123,3.0,7.0
124,4.0,7.0
125,5.0,7.0
126,6.0,7.0
127,7.0,7.0
128,8.0,7.0
129,9.0,7.0
130,10.0,7.0
131,11.0,7.0
132,12.0,7.0
133,13.0,7.0
134,14.0,7.0
135,15.0,7.0
136,16.0,7.0
137,17.0,7.0
138,18.0,7.0
139,19.0,7.0
140,20.0,7.0
141,1.0,8.0
142,2.0,8.0
143,3.0,8.0
144,4.0,8.0
145,5.0,8.0
146,6.0,8.0
147,7.0,8.0
148,8.0,8.0
149,9.0,8.0
150,10.0,8.0
151,11.0,8.0
152,12.0,8.0
153,13.0,8.0
154,14.0,8.0
155,15.0,8.0
156,16.0,8.0
157,17.0,8.0
158,18.0,8.0
159,19.0,8.0
160,20.0,8.0
161,1.0,9.0
162,2.0,9.0
163,3.0,9.0
164,4.0,9.0
165,5.0,9.0
166,6.0,9.0
167,7.0,9.0
168,8.0,9.0
169,9.0,9.0
170,10.0,9.0
171,11.0,9.0
172,12.0,9.0
173,13.0,9.0
174,14.0,9.0
175,15.0,9.0
176,16.0,9.0
177,17.0,9.0
178,18.0,9.0
179,19.0,9.0
180,20.0,9.0
181,1.0,10.0
182,2.0,10.0
183,3.0,10.0
184,4.0,10.0
185,5.0,10.0
186,6.0,10.0
187,7.0,10.0
188,8.0,10.0
189,9.0,10.0
190,10.0,10.0
191,11.0,10.0
192,12.0,10.0
193,13.0,10.0
194,14.0,10.0
195,15.0,10.0
196,16.0,10.0
197,17.0,10.0
198,18.0,10.0
199,19.0,10.0
200,20.0,10.0
201,1.0,11.0
202,2.0,11.0
203,3.0,11.0
204,4.0,11.0
205,5.0,11.0
206,6.0,11.0
207,7.0,11.0
208,8.0,11.0
209,9.0,11.0
210,10.0,11.0
211,11.0,11.0
212,12.0,11.0
213,13.0,11.0
214,14.0,11.0
215,15.0,11.0
216,16.0,11.0
217,17.0,11.0
218,18.0,11.0
219,19.0,11.0
220,20.0,11.0
221,1.0,12.0
222,2.0,12.0
223,3.0,12.0
224,4.0,12.0
225,5.0,12.0
226,6.0,12.0
227,7.0,12.0
228,8.0,12.0
229,9.0,12.0
230,10.0,12.0
231,11.0,12.0
232,12.0,12.0
233,13.0,12.0
234,14.0,12.0
235,15.0,12.0
236,16.0,12.0
237,17.0,12.0
238,18.0,12.0
239,19.0,12.0
240,20.0,12.0
241,1.0,13.0
242,2.0,13.0
243,3.0,13.0
244,4.0,13.0
245,5.0,13.0
246,6.0,13.0
247,7.0,13.0
248,8.0,13.0
249,9.0,13.0
250,10.0,13.0
251,11.0,13.0
252,12.0,13.0
253,13.0,13.0
254,14.0,13.0
255,15.0,13.0
256,16.0,13.0
257,17.0,13.0
258,18.0,13.0
259,19.0,13.0
260,20.0,13.0
261,1.0,14.0
262,2.0,14.0
263,3.0,14.0
264,4.0,14.0
265,5.0,14.0
266,6.0,14.0
267,7.0,14.0
268,8.0,14.0
269,9.0,14.0
270,10.0,14.0
271,11.0,14.0
272,12.0,14.0
273,13.0,14.0
274,14.0,14.0
275,15.0,14.0
276,16.0,14.0
277,17.0,14.0
278,18.0,14.0
279,19.0,14.0
280,20.0,14.0
281,1.0,15.0
282,2.0,15.0
283,3.0,15.0
284,4.0,15.0
285,5.0,15.0
286,6.0,15.0
287,7.0,15.0
288,8.0,15.0
289,9.0,15.0
290,10.0,15.0
291,11.0,15.0
292,12.0,15.0
293,13.0,15.0
294,14.0,15.0
295,15.0,15.0
296,16.0,15.0
297,17.0,15.0
298,18.0,15.0
299,19.0,15.0
300,20.0,15.0
