id,m_cf1,m_cf2,m_cf3
1,1.38,-0.0,0.33
2,1.95,0.37,0.4
3,2.5,0.74,0.47
4,3.02,1.1,0.55
5,3.5,1.45,0.62
6,3.92,1.8,0.7
7,4.28,2.14,0.77
8,4.56,2.46,0.85
9,4.73,2.76,0.92
10,4.79,3.04,1.0
11,4.79,3.29,1.08
12,4.73,3.51,1.16
13,4.56,3.69,1.24
14,4.28,3.82,1.33
15,3.92,3.9,1.41
16,3.5,3.93,1.49
17,3.02,3.9,1.56
18,2.5,3.82,1.62
19,1.95,3.69,1.65
20,1.38,3.51,1.62
21,1.74,0.21,0.34
22,2.35,0.6,0.41
23,2.94,0.98,0.48
24,3.5,1.36,0.55
25,4.02,1.73,0.63
26,4.5,2.1,0.7
27,4.92,2.46,0.78
28,5.24,2.8,0.86
29,5.45,3.13,0.94
30,5.52,3.44,1.02
31,5.52,3.72,1.1
32,5.45,3.96,1.18
33,5.24,4.16,1.26
34,4.92,4.31,1.35
35,4.5,4.41,1.44
36,4.02,4.44,1.53
37,3.5,4.41,1.62
38,2.94,4.31,1.71
39,2.35,4.16,1.76
40,1.74,3.96,1.71
41,2.06,0.41,0.34
42,2.69,0.81,0.41
43,3.32,1.2,0.48
44,3.92,1.6,0.56
45,4.5,1.99,0.63
46,5.04,2.38,0.71
47,5.52,2.76,0.78
48,5.91,3.13,0.86
49,6.16,3.49,0.94
50,6.26,3.82,1.02
51,6.26,4.13,1.1
52,6.16,4.41,1.19
53,5.91,4.64,1.27
54,5.52,4.81,1.36
55,5.04,4.92,1.45
56,4.5,4.96,1.55
57,3.92,4.92,1.65
58,3.32,4.81,1.76
59,2.69,4.64,1.9
60,2.06,4.41,1.76
61,2.31,0.59,0.34
62,2.98,1.0,0.41
63,3.64,1.41,0.48
64,4.28,1.82,0.55
65,4.92,2.23,0.63
66,5.52,2.64,0.7
67,6.08,3.04,0.78
68,6.55,3.44,0.86
69,6.88,3.82,0.94
70,7.0,4.19,1.02
71,7.0,4.54,1.1
72,6.88,4.85,1.18
