id,m_cf1,m_cf2,m_cf3
1,2.2,0.78,0.78
2,2.6,1.15,1.01
3,3.01,1.53,1.22
4,3.41,1.91,1.42
5,3.81,2.3,1.6
6,4.21,2.69,1.75
7,4.61,3.08,1.89
8,5.02,3.45,2.0
9,5.42,3.81,2.07
10,5.83,4.12,2.12
11,6.23,4.38,2.14
12,6.64,4.55,2.12
13,7.05,4.61,2.07
14,7.46,4.55,2.0
15,7.88,4.38,1.89
16,8.3,4.12,1.75
17,7.88,3.81,1.6
18,7.46,3.45,1.42
19,7.05,3.08,1.22
20,6.64,2.69,1.01
21,2.19,0.92,1.06
22,2.59,1.31,1.3
23,2.99,1.7,1.53
24,3.39,2.11,1.74
25,3.79,2.53,1.93
26,4.19,2.95,2.11
27,4.59,3.38,2.25
28,4.99,3.81,2.37
29,5.39,4.22,2.46
30,5.79,4.61,2.51
31,6.19,4.93,2.53
32,6.59,5.16,2.51
33,6.98,5.24,2.46
34,7.36,5.16,2.37
35,7.7,4.93,2.25
36,7.88,4.61,2.11
37,7.7,4.22,1.93
38,7.36,3.81,1.74
39,6.98,3.38,1.53
40,6.59,2.95,1.3
41,2.15,1.03,1.32
42,2.55,1.43,1.58
43,2.94,1.85,1.83
44,3.34,2.28,2.06
45,3.74,2.72,2.27
46,4.13,3.17,2.46
47,4.53,3.64,2.62
48,4.92,4.12,2.75
49,5.31,4.61,2.85
50,5.7,5.08,2.91
51,6.08,5.51,2.93
52,6.45,5.82,2.91
53,6.8,5.94,2.85
54,7.12,5.82,2.75
55,7.36,5.51,2.62
56,7.46,5.08,2.46
57,7.36,4.61,2.27
58,7.12,4.12,2.06
59,6.8,3.64,1.83
60,6.45,3.17,1.58
61,2.08,1.11,1.58
62,2.48,1.53,1.86
63,2.87,1.95,2.12
64,3.26,2.4,2.37
65,3.65,2.86,2.6
66,4.03,3.34,2.81
67,4.42,3.85,2.99
68,4.8,4.38,3.14
69,5.17,4.93,3.25
70,5.54,5.51,3.32
71,5.9,6.08,3.34
72,6.23,6.55,3.32
73,6.54,6.76,3.25
74,6.8,6.55,3.14
75,6.98,6.08,2.99
76,7.05,5.51,2.81
77,6.98,4.93,2.6
78,6.8,4.38,2.37
79,6.54,3.85,2.12
