id,m_cf1,m_cf2,m_cf3
1,0.22,5.82,1.82
2,0.26,6.14,2.14
3,0.3,6.46,2.46
4,0.34,6.77,2.78
5,0.37,7.07,3.11
6,0.4,7.34,3.45
7,0.43,7.57,3.79
8,0.45,7.73,4.13
9,0.47,7.79,4.47
10,0.48,7.73,4.81
11,0.48,7.57,5.14
12,0.48,7.34,5.43
13,0.48,7.07,5.68
14,0.47,6.77,5.85
15,0.45,6.59,5.91
16,0.43,6.93,5.85
17,0.4,7.26,5.68
18,0.37,7.57,5.43
19,0.34,7.86,5.14
20,0.3,8.08,4.81
21,0.26,8.17,4.47
22,0.22,8.08,4.13
23,0.17,7.86,3.79
24,0.13,7.57,3.45
25,0.08,7.26,3.11
26,0.25,5.92,1.9
27,0.3,6.26,2.22
28,0.34,6.59,2.55
29,0.38,6.93,2.89
30,0.42,7.26,3.23
31,0.45,7.57,3.58
32,0.48,7.86,3.94
33,0.51,8.08,4.31
34,0.53,8.17,4.68
35,0.54,8.08,5.06
36,0.54,7.86,5.43
37,0.54,7.57,5.79
38,0.54,7.26,6.11
39,0.53,6.93,6.35
40,0.51,6.68,6.44
41,0.48,7.03,6.35
42,0.45,7.38,6.11
43,0.42,7.73,5.79
44,0.38,8.08,5.43
45,0.34,8.4,5.06
46,0.3,8.56,4.68
47,0.25,8.4,4.31
48,0.21,8.08,3.94
49,0.16,7.73,3.58
50,0.11,7.38,3.23
51,0.29,5.99,1.96
52,0.34,6.33,2.29
53,0.38,6.68,2.62
54,0.43,7.03,2.97
55,0.47,7.38,3.32
56,0.5,7.73,3.68
57,0.54,8.08,4.06
58,0.57,8.4,4.45
59,0.59,8.56,4.84
60,0.6,8.4,5.26
61,0.6,8.08,5.68
62,0.6,7.73,6.11
63,0.6,7.38,6.53
64,0.59,7.03,6.88
65,0.57,6.71,7.02
66,0.54,7.07,6.88
67,0.5,7.43,6.53
68,0.47,7.79,6.11
69,0.43,8.17,5.68
70,0.38,8.56,5.26
71,0.34,9.0,4.84
72,0.29,8.56,4.45
73,0.24,8.17,4.06
74,0.19,7.79,3.68
75,0.14,7.43,3.32
76,0.32,6.01,1.99
77,0.37,6.36,2.33
78,0.42,6.71,2.67
79,0.47,7.07,3.02
80,0.51,7.43,3.38
81,0.55,7.79,3.75
82,0.59,8.17,4.13
83,0.62,8.56,4.53
84,0.65,9.0,4.95
85,0.66,8.56,5.39
86,0.67,8.17,5.85
87,0.67,7.79,6.35
88,0.66,7.43,6.88
89,0.65,7.07,7.41
90,0.62,6.71,7.72
91,0.59,7.03,7.41
92,0.55,7.38,6.88
93,0.51,7.73,6.35
94,0.47,8.08,5.85
95,0.42,8.4,5.39
96,0.37,8.56,4.95
97,0.32,8.4,4.53
98,0.27,8.08,4.13
99,0.22,7.73,3.75
100,0.17,7.38,3.38
101,0.35,5.99,2.01
102,0.4,6.33,2.34
103,0.45,6.68,2.68
104,0.5,7.03,3.03
105,0.55,7.38,3.39
106,0.6,7.73,3.77
107,0.64,8.08,4.16
108,0.68,8.4,4.56
109,0.71,8.56,4.99
110,0.73,8.4,5.43
111,0.73,8.08,5.91
112,0.73,7.73,6.44
113,0.73,7.38,7.02
114,0.71,7.03,7.72
115,0.68,6.68,8.9
116,0.64,6.93,7.72
117,0.6,7.26,7.02
118,0.55,7.57,6.44
119,0.5,7.86,5.91
120,0.45,8.08,5.43
121,0.4,8.17,4.99
122,0.35,8.08,4.56
123,0.3,7.86,4.16
124,0.24,7.57,3.77
125,0.19,7.26,3.39
126,0.37,5.92,1.99
127,0.43,6.26,2.33
128,0.48,6.59,2.67
129,0.54,6.93,3.02
130,0.59,7.26,3.38
131,0.64,7.57,3.75
132,0.69,7.86,4.13
133,0.73,8.08,4.53
134,0.77,8.17,4.95
135,0.79,8.08,5.39
136,0.8,7.86,5.85
137,0.8,7.57,6.35
138,0.79,7.26,6.88
139,0.77,6.93,7.41
140,0.73,6.59,7.72
141,0.69,6.77,7.41
142,0.64,7.07,6.88
143,0.59,7.34,6.35
144,0.54,7.57,5.85
145,0.48,7.73,5.39
146,0.43,7.79,4.95
147,0.37,7.73,4.53
148,0.32,7.57,4.13
149,0.26,7.34,3.75
150,0.21,7.07,3.38
151,0.39,5.82,1.96
152,0.45,6.14,2.29
153,0.51,6.46,2.62
154,0.57,6.77,2.97
155,0.62,7.07,3.32
156,0.68,7.34,3.68
157,0.73,7.57,4.06
158,0.78,7.73,4.45
159,0.82,7.79,4.84
160,0.85,7.73,5.26
161,0.87,7.57,5.68
162,0.87,7.34,6.11
163,0.85,7.07,6.53
164,0.82,6.77,6.88
165,0.78,6.46,7.02
166,0.73,6.57,6.88
