id,xloc,yloc,cost,is_locked_out,epicentre
1,1.0,1.0,5.9,0.0,0.0
2,2.0,1.0,9.9,0.0,0.0
3,3.0,1.0,2.7,0.0,0.0
4,4.0,1.0,6.2,0.0,0.0
5,5.0,1.0,8.7,0.0,0.0
6,6.0,1.0,6.9,0.0,0.0
7,7.0,1.0,6.6,0.0,0.0
8,8.0,1.0,7.2,0.0,0.0
9,9.0,1.0,3.7,0.0,0.0
10,10.0,1.0,4.4,0.0,0.0
11,11.0,1.0,3.1,0.0,0.0
12,12.0,1.0,5.8,0.0,0.0
13,13.0,1.0,8.6,0.0,0.0
14,14.0,1.0,1.5,0.0,0.0
15,15.0,1.0,4.2,0.0,0.0
16,16.0,1.0,9.9,0.0,0.0
17,17.0,1.0,5.4,0.0,0.0
18,18.0,1.0,5.5,0.0,0.0
19,19.0,1.0,8.1,0.0,0.0
20,20.0,1.0,1.8,0.0,0.0
21,21.0,1.0,6.3,0.0,0.0
22,22.0,1.0,7.2,0.0,0.0
23,23.0,1.0,3.7,0.0,0.0
24,24.0,1.0,7.8,0.0,0.0
25,25.0,1.0,3.6,0.0,0.0
26,1.0,2.0,2.6,0.0,0.0
27,2.0,2.0,6.8,0.0,0.0
28,3.0,2.0,8.6,0.0,0.0
29,4.0,2.0,6.9,0.0,0.0
30,5.0,2.0,4.7,0.0,0.0
31,6.0,2.0,4.5,0.0,0.0
32,7.0,2.0,3.7,0.0,0.0
33,8.0,2.0,1.8,0.0,0.0
34,9.0,2.0,7.0,0.0,0.0
35,10.0,2.0,9.5,0.0,0.0
36,11.0,2.0,1.1,0.0,0.0
37,12.0,2.0,3.3,0.0,0.0
38,13.0,2.0,7.7,0.0,0.0
39,14.0,2.0,8.6,0.0,0.0
40,15.0,2.0,9.4,0.0,0.0
41,16.0,2.0,6.5,0.0,0.0
42,17.0,2.0,4.0,0.0,0.0
43,18.0,2.0,5.5,0.0,0.0
44,19.0,2.0,7.3,0.0,0.0
45,20.0,2.0,7.4,0.0,0.0
46,21.0,2.0,5.0,0.0,0.0
47,22.0,2.0,1.3,0.0,0.0
48,23.0,2.0,5.4,0.0,0.0
49,24.0,2.0,6.0,0.0,0.0
50,25.0,2.0,8.5,0.0,0.0
51,1.0,3.0,3.0,0.0,0.0
52,2.0,3.0,8.9,0.0,0.0
53,3.0,3.0,8.0,0.0,0.0
54,4.0,3.0,1.9,0.0,0.0
55,5.0,3.0,7.8,0.0,0.0
56,6.0,3.0,4.2,0.0,0.0
57,7.0,3.0,3.4,0.0,0.0
58,8.0,3.0,8.2,0.0,0.0
59,9.0,3.0,5.1,0.0,0.0
60,10.0,3.0,5.3,0.0,0.0
61,11.0,3.0,7.2,0.0,0.0
62,12.0,3.0,3.7,0.0,0.0
63,13.0,3.0,9.4,0.0,0.0
64,14.0,3.0,1.6,0.0,0.0
65,15.0,3.0,1.6,0.0,0.0
66,16.0,3.0,5.7,0.0,0.0
67,17.0,3.0,9.2,0.0,0.0
68,18.0,3.0,8.7,0.0,0.0
69,19.0,3.0,2.2,0.0,0.0
70,20.0,3.0,2.2,0.0,0.0
71,21.0,3.0,9.7,0.0,2.0
72,22.0,3.0,6.8,0.0,0.0
73,23.0,3.0,2.9,0.0,0.0
74,24.0,3.0,2.0,0.0,0.0
75,25.0,3.0,5.9,0.0,0.0
76,1.0,4.0,3.6,0.0,0.0
77,2.0,4.0,6.5,0.0,0.0
78,3.0,4.0,2.1,0.0,0.0
79,4.0,4.0,7.9,0.0,0.0
80,5.0,4.0,1.7,0.0,0.0
81,6.0,4.0,3.6,0.0,0.0
82,7.0,4.0,1.2,0.0,0.0
83,8.0,4.0,6.5,0.0,0.0
84,9.0,4.0,2.0,0.0,2.0
85,10.0,4.0,9.1,0.0,0.0
86,11.0,4.0,9.7,0.0,0.0
87,12.0,4.0,9.3,0.0,0.0
88,13.0,4.0,5.9,0.0,0.0
89,14.0,4.0,1.5,0.0,0.0
90,15.0,4.0,6.1,0.0,0.0
91,16.0,4.0,4.3,0.0,0.0
92,17.0,4.0,5.0,0.0,0.0
93,18.0,4.0,9.4,0.0,0.0
94,19.0,4.0,9.1,0.0,0.0
95,20.0,4.0,7.1,0.0,0.0
96,21.0,4.0,8.9,0.0,0.0
97,22.0,4.0,9.9,0.0,0.0
98,23.0,4.0,8.6,0.0,0.0
99,24.0,4.0,4.0,0.0,0.0
100,25.0,4.0,3.4,0.0,0.0
101,1.0,5.0,1.8,0.0,0.0
102,2.0,5.0,7.5,0.0,0.0
103,3.0,5.0,3.0,0.0,0.0
104,4.0,5.0,4.0,0.0,0.0
105,5.0,5.0,2.6,0.0,0.0
106,6.0,5.0,6.5,0.0,0.0
107,7.0,5.0,7.0,0.0,0.0
108,8.0,5.0,2.4,0.0,0.0
109,9.0,5.0,9.4,0.0,0.0
110,10.0,5.0,1.1,0.0,0.0
111,11.0,5.0,5.2,0.0,0.0
112,12.0,5.0,3.2,0.0,0.0
113,13.0,5.0,1.9,0.0,0.0
114,14.0,5.0,3.8,0.0,0.0
115,15.0,5.0,1.2,0.0,3.0
116,16.0,5.0,1.3,0.0,0.0
117,17.0,5.0,9.7,0.0,0.0
