id,cf1,cf2,cf3
1,0.25,7.08,1.74
2,0.28,6.58,1.77
3,0.25,5.96,2.5
4,0.41,6.93,3.61
5,0.31,5.88,2.23
6,0.44,6.77,2.92
7,0.33,9.74,4.28
8,0.4,8.06,5.14
9,0.33,11.97,4.66
10,0.55,9.91,5.86
11,0.49,6.3,4.1
12,0.48,6.53,7.14
13,0.5,3.89,6.89
14,0.31,7.58,4.3
15,0.48,4.95,6.45
16,0.36,5.66,6.54
17,0.46,7.55,4.74
18,0.45,4.59,3.9
19,0.26,7.14,6.47
20,0.32,9.66,5.52
21,0.34,8.01,2.61
22,0.32,7.76,3.07
23,0.15,7.73,4.0
24,0.17,5.73,3.45
25,0.06,6.76,3.31
26,0.18,6.96,2.02
27,0.24,6.2,1.94
28,0.36,7.44,3.73
29,0.32,8.52,2.42
30,0.27,6.21,3.69
31,0.63,5.07,3.56
32,0.38,8.18,5.25
33,0.52,9.51,3.72
34,0.59,9.11,4.61
35,0.58,7.36,5.18
36,0.63,9.57,6.29
37,0.49,7.24,5.97
38,0.46,6.84,9.25
39,0.47,4.94,8.96
40,0.61,7.2,8.4
41,0.29,6.39,5.21
42,0.58,6.52,6.5
43,0.39,10.19,5.18
44,0.33,8.4,7.48
45,0.37,8.37,3.81
46,0.37,9.09,5.18
47,0.25,10.4,6.0
48,0.25,10.11,2.99
49,0.17,8.46,3.63
50,0.15,7.2,2.35
51,0.35,6.99,2.24
52,0.27,6.12,2.68
53,0.3,8.66,2.02
54,0.58,6.33,3.31
55,0.37,6.92,2.47
56,0.44,7.99,3.49
57,0.51,8.17,4.58
58,0.68,6.88,4.07
59,0.55,6.79,5.52
60,0.68,8.59,5.62
61,0.57,8.05,6.04
62,0.51,7.41,6.0
63,0.64,8.48,7.63
64,0.54,6.22,4.68
65,0.28,7.26,7.78
66,0.65,7.73,7.46
67,0.54,6.1,5.39
68,0.5,6.11,5.75
69,0.28,9.76,4.97
70,0.22,7.72,4.39
71,0.35,9.26,3.36
72,0.27,10.66,3.99
73,0.27,8.92,4.38
74,0.24,10.09,3.06
75,0.14,8.44,3.51
76,0.27,7.09,2.38
77,0.33,5.02,1.68
78,0.5,4.79,2.67
79,0.6,6.73,2.21
80,0.39,6.55,2.75
81,0.7,7.35,3.98
82,0.46,7.14,4.75
83,0.53,9.69,3.05
84,0.64,9.07,5.26
85,0.58,10.98,5.3
86,0.64,9.09,6.38
87,0.83,7.44,6.63
88,0.49,5.02,5.25
89,0.43,7.23,8.93
90,0.51,8.31,7.02
91,0.79,8.29,7.31
92,0.4,5.3,5.3
93,0.4,6.68,6.95
94,0.37,5.31,6.26
95,0.6,10.63,6.5
96,0.43,10.07,5.98
97,0.43,9.45,4.06
98,0.29,9.99,2.65
99,0.17,10.4,5.25
100,0.17,9.65,2.73
101,0.49,7.08,2.06
102,0.36,5.77,1.88
103,0.62,4.27,2.72
104,0.42,8.91,2.67
105,0.52,10.19,2.71
106,0.61,8.26,3.52
107,0.65,10.87,4.29
108,0.67,10.94,3.58
109,0.66,9.41,5.5
110,0.77,12.81,6.82
111,0.63,5.85,7.47
112,0.91,7.29,4.39
113,0.61,9.66,7.97
114,0.8,6.79,8.02
115,0.58,5.42,9.17
116,0.58,7.15,7.03
117,0.67,8.56,6.0
118,0.55,7.31,5.66
119,0.44,2.42,4.42
120,0.61,6.14,3.84
121,0.3,8.9,7.07
122,0.34,5.52,3.58
123,0.35,5.96,4.46
124,0.26,6.11,4.59
125,0.17,9.23,3.25
126,0.41,7.48,2.11
127,0.46,3.8,2.83
128,0.48,7.9,2.6
129,0.63,7.92,3.4
130,0.57,7.13,3.04
131,0.51,5.22,3.67
132,0.88,8.33,4.52
133,0.63,8.92,2.64
134,0.76,5.19,4.88
135,0.89,7.52,6.57
136,0.88,10.44,5.2
137,0.68,6.72,5.72
138,0.73,7.75,5.23
139,0.78,7.64,8.0
140,0.97,8.55,5.59
141,0.82,5.26,5.65
142,0.79,5.81,7.12
143,0.53,9.62,6.0
144,0.59,7.98,4.13
145,0.41,6.29,6.35
146,0.41,9.2,4.92
147,0.38,4.89,3.74
148,0.27,6.2,3.65
149,0.29,6.54,3.94
150,0.2,7.45,3.82
151,0.35,6.12,1.66
152,0.54,5.11,3.18
153,0.33,6.76,2.82
154,0.53,6.32,2.47
155,0.6,6.66,3.84
156,0.45,5.99,2.06
157,0.58,9.35,3.12
158,0.73,8.44,6.19
159,1.01,5.69,5.23
160,1.06,8.74,5.68
161,0.76,8.35,7.47
162,0.78,5.7,4.71
163,1.0,6.37,7.05
164,0.76,7.77,5.1
165,0.5,8.58,8.6
166,0.64,8.1,9.7
167,0.92,8.37,6.46
168,0.71,5.59,6.93
169,0.53,6.32,5.96
170,0.44,8.98,6.21
171,0.7,5.39,4.83
172,0.45,8.56,5.64
173,0.44,8.24,2.66
174,0.26,6.87,3.99
175,0.18,8.05,4.69
176,0.4,7.44,2.24
177,0.49,8.0,2.79
178,0.62,6.78,1.78
179,0.53,7.09,2.38
180,0.49,5.66,2.88
181,0.69,6.72,3.01
182,0.57,9.06,4.55
183,0.88,8.42,4.92
184,0.71,6.84,5.28
185,1.33,7.27,5.5
186,0.91,5.61,4.57
187,0.89,6.14,4.68
188,0.85,7.3,10.27
189,0.91,8.23,7.44
190,0.63,4.61,5.78
191,0.86,3.81,5.21
192,0.71,5.89,7.13
193,0.52,5.56,7.89
194,0.58,7.39,5.07
195,0.48,4.03,6.61
196,0.55,8.67,3.98
197,0.47,7.08,3.84
198,0.34,9.61,5.16
199,0.29,6.58,4.33
200,0.19,7.82,3.53
201,0.58,4.64,1.49
202,0.54,7.93,1.42
203,0.62,6.51,2.44
204,0.49,7.05,2.46
205,0.62,3.49,2.99
206,0.99,6.23,4.38
207,0.49,7.64,3.67
208,0.95,7.99,3.35
209,1.23,8.6,5.39
210,1.06,7.91,5.53
211,0.77,6.5,5.2
212,0.84,5.26,6.71
213,1.08,6.22,6.54
214,0.79,7.44,4.71
215,0.66,5.6,5.87
216,0.75,8.55,3.95
217,0.89,5.37,3.56
218,0.61,5.69,6.74
219,0.5,7.42,4.19
220,0.54,8.82,4.21
221,0.38,6.82,3.87
222,0.36,7.07,5.45
223,0.29,6.8,3.89
224,0.31,7.14,2.55
225,0.22,5.02,2.56
226,0.36,6.72,1.54
227,0.47,4.51,2.59
228,0.77,5.98,2.49
229,0.57,5.77,2.96
230,0.7,8.18,2.44
231,0.76,6.98,3.89
232,0.84,7.1,4.18
233,0.92,7.53,2.44
234,0.94,6.07,3.35
235,0.87,6.03,6.16
236,1.23,5.59,3.78
237,1.29,6.4,4.05
238,1.23,7.77,5.04
239,0.81,4.32,5.2
240,0.66,6.18,3.39
241,0.77,7.54,4.71
242,0.59,7.6,6.58
243,0.97,6.31,5.32
244,0.7,6.85,3.44
245,0.66,7.62,6.2
246,0.51,6.86,3.84
247,0.53,8.33,4.5
248,0.49,5.91,5.18
249,0.2,6.58,2.97
250,0.3,6.36,2.87
251,0.32,5.93,1.47
252,0.59,4.66,1.48
253,0.47,5.96,2.36
254,0.24,3.97,2.91
255,0.66,4.57,2.54
256,0.74,4.41,3.01
257,0.89,5.82,2.85
258,1.06,6.02,3.96
259,0.84,8.65,3.64
260,1.19,4.29,2.61
261,0.87,4.84,3.95
262,1.0,7.06,3.34
263,1.01,4.27,3.91
264,0.89,7.16,5.63
265,0.96,5.53,6.05
266,0.5,6.08,5.3
267,0.67,4.6,6.25
268,0.47,3.16,4.12
269,0.35,4.68,4.52
270,0.54,6.16,5.16
271,0.35,5.26,3.97
272,0.4,7.04,3.96
273,0.33,3.5,3.83
274,0.29,4.76,3.7
275,0.25,6.2,2.68
276,0.29,5.32,1.16
277,0.45,4.11,1.9
278,0.38,5.04,2.13
279,0.49,5.05,2.96
280,0.61,6.75,2.12
281,0.52,6.74,2.46
282,1.0,4.63,3.67
283,0.75,6.67,3.6
284,0.92,6.39,3.97
285,0.86,6.22,3.78
286,1.2,6.42,2.99
287,1.01,5.2,5.42
288,1.14,5.87,4.36
289,0.55,4.66,3.24
290,0.69,4.17,4.66
291,0.94,3.69,4.16
292,0.85,4.64,5.8
293,0.8,6.65,2.74
294,0.78,6.41,3.21
295,0.47,4.09,3.74
296,0.52,7.21,4.7
297,0.44,5.68,4.08
298,0.31,5.4,3.97
299,0.25,6.23,2.68
300,0.19,4.72,3.33
301,0.34,4.54,1.42
302,0.58,6.11,1.46
303,0.61,6.79,2.07
304,0.6,5.43,1.36
305,0.97,8.37,2.25
306,0.7,5.7,2.78
