id,m_cf1,m_cf2,m_cf3
1,0.38,2.53,4.45
2,0.54,2.78,4.41
3,0.69,2.99,4.3
4,0.84,3.16,4.14
5,0.99,3.29,3.95
6,1.11,3.36,3.78
7,1.22,3.39,3.95
8,1.31,3.36,4.08
9,1.36,3.29,4.17
10,1.38,3.16,4.2
11,1.38,2.99,4.17
12,1.36,2.78,4.08
13,1.31,2.53,3.95
14,1.22,2.24,3.78
15,1.11,1.92,3.6
16,0.99,1.58,3.4
17,0.84,1.21,3.2
18,0.69,0.83,2.98
19,0.54,0.42,2.77
20,0.38,-0.0,2.55
21,0.48,3.01,4.72
22,0.65,3.29,4.65
23,0.82,3.52,4.5
24,0.99,3.7,4.3
25,1.14,3.84,4.08
26,1.29,3.92,3.95
27,1.42,3.95,4.14
28,1.53,3.92,4.3
29,1.59,3.84,4.41
30,1.62,3.7,4.45
31,1.62,3.52,4.41
32,1.59,3.29,4.3
33,1.53,3.01,4.14
34,1.42,2.71,3.95
35,1.29,2.37,3.74
36,1.14,2.01,3.52
37,0.99,1.62,3.3
38,0.82,1.21,3.08
39,0.65,0.79,2.85
40,0.48,0.35,2.63
41,0.57,3.49,4.99
42,0.75,3.78,4.88
43,0.93,4.04,4.65
44,1.11,4.24,4.41
45,1.29,4.39,4.17
46,1.46,4.49,4.08
47,1.62,4.52,4.3
48,1.75,4.49,4.5
49,1.84,4.39,4.65
50,1.87,4.24,4.72
51,1.87,4.04,4.65
52,1.84,3.78,4.5
53,1.75,3.49,4.3
54,1.62,3.16,4.08
55,1.46,2.8,3.85
56,1.29,2.41,3.62
57,1.11,2.01,3.38
58,0.93,1.58,3.15
59,0.75,1.14,2.92
60,0.57,0.68,2.69
61,0.64,3.95,5.3
62,0.83,4.27,4.99
63,1.03,4.55,4.72
64,1.22,4.78,4.45
65,1.42,4.94,4.2
66,1.62,5.05,4.17
67,1.81,5.08,4.41
68,1.97,5.05,4.65
69,2.09,4.94,4.88
70,2.13,4.78,4.99
71,2.13,4.55,4.88
72,2.09,4.27,4.65
73,1.97,3.95,4.41
74,1.81,3.6,4.17
75,1.62,3.21,3.92
76,1.42,2.8,3.68
77,1.22,2.37,3.44
78,1.03,1.92,3.2
79,0.83,1.46,2.96
80,0.64,0.99,2.72
81,0.69,4.39,4.99
82,0.89,4.74,4.88
83,1.1,5.05,4.65
84,1.31,5.3,4.41
85,1.53,5.49,4.17
86,1.75,5.61,4.2
87,1.97,5.65,4.45
88,2.18,5.61,4.72
89,2.36,5.49,4.99
90,2.43,5.3,5.3
91,2.43,5.05,4.99
92,2.36,4.74,4.72
93,2.18,4.39,4.45
94,1.97,4.01,4.2
95,1.75,3.6,3.95
96,1.53,3.16,3.7
97,1.31,2.71,3.45
98,1.1,2.24,3.21
99,0.89,1.76,2.97
100,0.69,1.27,2.73
101,0.73,4.81,4.72
102,0.93,5.19,4.65
103,1.14,5.53,4.5
104,1.36,5.82,4.3
105,1.59,6.04,4.08
106,1.84,6.17,4.17
107,2.09,6.22,4.41
108,2.36,6.17,4.65
109,2.62,6.04,4.88
110,2.77,5.82,4.99
111,2.77,5.53,4.88
112,2.62,5.19,4.65
113,2.36,4.81,4.41
114,2.09,4.39,4.17
115,1.84,3.95,3.92
116,1.59,3.49,3.68
117,1.36,3.01,3.44
118,1.14,2.53,3.2
119,0.93,2.03,2.96
120,0.73,1.52,2.72
121,0.74,5.19,4.45
122,0.94,5.61,4.41
