id,m_cf1,m_cf2,m_cf3
1,1.66,2.8,2.37
2,1.99,2.86,2.57
3,2.3,2.91,2.78
4,2.6,2.93,2.99
5,2.87,2.94,3.21
6,3.12,2.93,3.44
7,3.33,2.91,3.67
8,3.5,3.01,3.92
9,3.63,3.27,4.18
10,3.71,3.52,4.45
11,3.74,3.76,4.75
12,3.74,3.99,5.07
13,3.71,4.21,5.43
14,3.63,4.41,5.86
15,3.5,4.6,6.6
16,3.33,4.77,5.86
17,3.12,4.92,5.43
18,2.87,5.05,5.07
19,2.6,5.15,4.75
20,2.3,5.22,4.45
21,1.99,5.27,4.18
22,1.66,5.29,3.92
23,1.32,5.27,3.67
24,0.97,5.22,3.44
25,0.61,5.15,3.21
26,1.95,3.12,2.36
27,2.3,3.19,2.56
28,2.64,3.24,2.77
29,2.96,3.27,2.98
30,3.26,3.28,3.2
31,3.53,3.27,3.42
32,3.76,3.24,3.66
33,3.96,3.21,3.9
34,4.1,3.48,4.16
35,4.2,3.74,4.42
36,4.23,3.99,4.71
37,4.23,4.23,5.01
38,4.2,4.46,5.34
39,4.1,4.68,5.67
40,3.96,4.88,5.86
41,3.76,5.06,5.67
42,3.53,5.22,5.34
43,3.26,5.36,5.01
44,2.96,5.47,4.71
45,2.64,5.56,4.42
46,2.3,5.61,4.16
47,1.95,5.62,3.9
48,1.59,5.61,3.66
49,1.22,5.56,3.42
50,0.85,5.47,3.2
51,2.23,3.45,2.34
52,2.6,3.52,2.54
53,2.96,3.57,2.74
54,3.31,3.6,2.95
55,3.63,3.61,3.16
56,3.93,3.6,3.38
57,4.2,3.57,3.61
58,4.42,3.52,3.85
59,4.58,3.67,4.09
60,4.69,3.94,4.34
61,4.73,4.21,4.6
62,4.73,4.46,4.87
63,4.69,4.7,5.12
64,4.58,4.93,5.34
65,4.42,5.15,5.43
66,4.2,5.35,5.34
67,3.93,5.52,5.12
68,3.63,5.67,4.87
69,3.31,5.8,4.6
70,2.96,5.89,4.34
71,2.6,5.94,4.09
72,2.23,5.96,3.85
73,1.85,5.94,3.61
74,1.46,5.89,3.38
75,1.07,5.8,3.16
76,2.48,3.77,2.3
77,2.87,3.84,2.5
78,3.26,3.9,2.7
79,3.63,3.93,2.9
80,3.99,3.94,3.11
81,4.32,3.93,3.32
82,4.62,3.9,3.54
83,4.87,3.84,3.77
84,5.07,3.86,3.99
85,5.19,4.14,4.22
86,5.24,4.41,4.45
87,5.24,4.68,4.67
88,5.19,4.93,4.87
89,5.07,5.18,5.01
90,4.87,5.41,5.07
91,4.62,5.62,5.01
92,4.32,5.81,4.87
93,3.99,5.98,4.67
94,3.63,6.12,4.45
95,3.26,6.22,4.22
96,2.87,6.28,3.99
97,2.48,6.3,3.77
98,2.08,6.28,3.54
99,1.68,6.22,3.32
100,1.27,6.12,3.11
101,2.7,4.09,2.26
102,3.12,4.17,2.45
103,3.53,4.23,2.64
104,3.93,4.27,2.84
105,4.32,4.28,3.04
106,4.69,4.27,3.24
107,5.03,4.23,3.45
108,5.33,4.17,3.66
109,5.56,4.09,3.87
110,5.71,4.31,4.07
111,5.77,4.6,4.27
112,5.77,4.88,4.45
113,5.71,5.15,4.6
114,5.56,5.41,4.71
115,5.33,5.66,4.75
116,5.03,5.89,4.71
117,4.69,6.1,4.6
118,4.32,6.28,4.45
119,3.93,6.43,4.27
120,3.53,6.55,4.07
121,3.12,6.62,3.87
122,2.7,6.64,3.66
123,2.28,6.62,3.45
124,1.86,6.55,3.24
125,1.44,6.43,3.04
126,2.89,4.41,2.2
127,3.33,4.5,2.38
128,3.76,4.56,2.57
129,4.2,4.6,2.76
130,4.62,4.61,2.95
131,5.03,4.6,3.14
132,5.42,4.56,3.34
133,5.77,4.5,3.53
134,6.05,4.41,3.72
135,6.24,4.47,3.9
136,6.31,4.77,4.07
137,6.31,5.06,4.22
138,6.24,5.35,4.34
139,6.05,5.62,4.42
140,5.77,5.89,4.45
141,5.42,6.14,4.42
142,5.03,6.37,4.34
143,4.62,6.57,4.22
144,4.2,6.74,4.07
145,3.76,6.87,3.9
146,3.33,6.96,3.72
147,2.89,6.98,3.53
148,2.46,6.96,3.34
149,2.02,6.87,3.21
150,1.59,6.74,3.2
151,3.05,4.73,2.12
152,3.5,4.82,2.3
153,3.96,4.89,2.48
154,4.42,4.93,2.66
155,4.87,4.95,2.85
156,5.33,4.93,3.03
157,5.77,4.89,3.21
158,6.18,4.82,3.38
159,6.53,4.73,3.56
160,6.79,4.61,3.72
161,6.88,4.92,3.87
162,6.88,5.22,3.99
163,6.79,5.52,4.09
164,6.53,5.81,4.16
165,6.18,6.1,4.18
166,5.77,6.37,4.16
167,5.33,6.62,4.09
168,4.87,6.85,3.99
169,4.42,7.04,3.87
170,3.96,7.19,3.72
171,3.5,7.29,3.56
172,3.05,7.33,3.38
173,2.6,7.29,3.42
174,2.15,7.19,3.44
175,1.71,7.04,3.42
176,3.16,5.05,2.04
177,3.63,5.15,2.21
178,4.1,5.22,2.39
179,4.58,5.27,2.56
180,5.07,5.29,2.73
181,5.56,5.27,2.9
182,6.05,5.22,3.07
183,6.53,5.15,3.23
184,6.98,5.05,3.38
185,7.34,4.92,3.53
186,7.49,5.05,3.66
187,7.49,5.36,3.77
188,7.34,5.67,3.85
189,6.98,5.98,3.9
190,6.53,6.28,3.92
191,6.05,6.57,3.9
192,5.56,6.85,3.85
193,5.07,7.1,3.77
194,4.58,7.33,3.66
195,4.1,7.51,3.53
196,3.63,7.63,3.54
197,3.16,7.67,3.61
198,2.7,7.63,3.66
199,2.25,7.51,3.67
200,1.79,7.33,3.66
201,3.23,5.36,1.95
202,3.71,5.47,2.12
203,4.2,5.56,2.28
204,4.69,5.61,2.45
205,5.19,5.62,2.61
206,5.71,5.61,2.77
207,6.24,5.56,2.92
208,6.79,5.47,3.07
209,7.34,5.36,3.21
210,7.86,5.22,3.34
211,8.15,5.15,3.45
212,8.15,5.47,3.54
213,7.86,5.8,3.61
214,7.34,6.12,3.66
215,6.79,6.43,3.67
216,6.24,6.74,3.66
217,5.71,7.04,3.61
218,5.19,7.33,3.54
219,4.69,7.59,3.53
220,4.2,7.81,3.66
221,3.71,7.96,3.77
222,3.23,8.02,3.85
223,2.76,7.96,3.9
224,2.3,7.81,3.92
225,1.85,7.59,3.9
226,3.26,5.67,1.85
227,3.74,5.8,2.01
228,4.23,5.89,2.17
229,4.73,5.94,2.32
230,5.24,5.96,2.48
231,5.77,5.94,2.62
232,6.31,5.89,2.77
233,6.88,5.8,2.9
234,7.49,5.67,3.03
235,8.15,5.52,3.14
236,9.0,5.35,3.24
237,9.0,5.56,3.32
238,8.15,5.89,3.38
239,7.49,6.22,3.42
240,6.88,6.55,3.44
241,6.31,6.87,3.42
242,5.77,7.19,3.38
243,5.24,7.51,3.56
244,4.73,7.81,3.72
245,4.23,8.08,3.87
246,3.74,8.29,3.99
247,3.26,8.37,4.09
248,2.79,8.29,4.16
249,2.32,8.08,4.18
250,1.86,7.81,4.16
251,3.26,5.98,1.75
252,3.74,6.12,1.9
253,4.23,6.22,2.05
254,4.73,6.28,2.2
255,5.24,6.3,2.34
256,5.77,6.28,2.48
257,6.31,6.22,2.61
258,6.88,6.12,2.73
259,7.49,5.98,2.85
260,8.15,5.81,2.95
261,9.0,5.62,3.04
262,9.0,5.61,3.11
263,8.15,5.94,3.16
264,7.49,6.28,3.2
265,6.88,6.62,3.21
266,6.31,6.96,3.34
267,5.77,7.29,3.53
268,5.24,7.63,3.72
269,4.73,7.96,3.9
270,4.23,8.29,4.07
271,3.74,8.58,4.22
272,3.26,8.73,4.34
273,2.79,8.58,4.42
274,2.32,8.29,4.45
275,1.86,7.96,4.42
276,3.23,6.28,1.64
277,3.71,6.43,1.78
278,4.2,6.55,1.92
279,4.69,6.62,2.06
280,5.19,6.64,2.2
281,5.71,6.62,2.32
282,6.24,6.55,2.45
283,6.79,6.43,2.56
284,7.34,6.28,2.66
285,7.86,6.1,2.76
286,8.15,5.89,2.84
287,8.15,5.66,2.9
288,7.86,5.96,2.95
289,7.34,6.3,3.04
290,6.79,6.64,3.24
291,6.24,6.98,3.45
292,5.71,7.33,3.66
293,5.19,7.67,3.87
294,4.69,8.02,4.07
295,4.2,8.37,4.27
296,3.71,8.73,4.45
297,3.23,9.1,4.6
298,2.76,8.73,4.71
299,2.3,8.37,4.75
300,1.85,8.02,4.71
301,3.16,6.57,1.52
