id,cf1,cf2,cf3
1,1.64,1.75,3.68
2,1.25,2.01,5.62
3,2.35,1.85,5.78
4,2.86,1.36,5.36
5,2.44,1.56,6.23
6,3.26,1.59,3.39
7,3.51,1.36,4.74
8,4.15,1.27,4.62
9,3.37,1.93,4.56
10,2.82,1.56,3.66
11,3.46,1.27,4.35
12,3.76,1.31,3.04
13,2.62,1.34,4.12
14,3.26,1.27,3.53
15,3.01,1.54,3.62
16,3.27,1.21,1.53
17,2.64,1.42,2.98
18,3.13,0.85,4.13
19,3.05,1.51,3.59
20,2.42,1.46,2.59
21,2.25,1.19,3.21
22,1.41,1.98,3.88
23,1.09,1.33,2.61
24,0.89,0.97,2.69
25,0.51,1.7,1.44
26,1.15,2.04,5.13
27,2.07,1.28,4.46
28,3.41,1.57,4.56
29,2.6,1.19,5.25
30,3.34,1.6,6.45
31,2.53,1.33,3.86
32,2.38,1.55,4.39
33,3.55,1.78,5.49
34,3.68,1.64,3.8
35,3.38,2.29,5.03
36,3.33,1.8,4.05
37,4.46,1.93,2.92
38,3.14,1.28,3.46
39,4.67,1.09,3.34
40,4.39,0.7,4.15
41,5.2,1.33,2.94
42,3.69,1.09,3.01
43,2.67,1.45,3.93
44,2.58,1.28,3.76
45,1.88,1.59,4.21
46,1.57,2.12,2.72
47,2.28,1.7,3.26
48,1.41,1.34,3.65
49,0.77,1.98,3.29
50,0.76,1.29,4.39
51,1.77,1.71,5.98
52,1.64,1.62,6.14
53,2.65,1.94,4.75
54,2.99,2.23,4.09
55,3.56,2.18,5.47
56,3.52,1.86,6.35
57,3.79,1.37,5.72
58,3.23,2.26,5.47
59,4.66,1.98,3.43
60,3.78,1.74,4.72
61,5.4,2.15,4.9
62,4.45,2.53,4.45
63,4.72,1.86,3.59
64,4.88,1.96,3.38
65,3.18,1.71,4.0
66,3.71,1.32,4.21
67,2.27,0.82,2.84
68,3.34,1.97,3.26
69,2.88,1.35,2.86
70,2.67,1.74,3.83
71,2.37,1.73,3.67
72,1.58,1.75,3.53
73,1.59,1.08,2.76
74,1.15,1.45,4.49
75,1.04,1.5,3.79
76,2.14,1.92,6.08
77,2.96,1.85,7.08
78,2.04,1.03,5.11
79,4.26,2.0,6.58
80,4.17,1.89,7.47
81,3.9,2.73,5.05
82,5.31,1.56,6.61
83,4.45,2.04,4.28
84,4.29,2.18,4.75
85,4.55,2.25,6.05
86,7.14,1.43,4.21
87,4.42,1.72,2.64
88,5.14,2.29,4.32
89,4.47,1.62,2.35
90,3.86,1.85,3.64
91,4.06,1.57,4.24
92,3.87,1.26,3.29
93,3.41,1.37,4.27
94,4.39,2.6,4.6
95,1.98,2.11,4.22
96,2.29,2.35,3.11
97,1.79,1.31,5.56
98,1.99,1.4,4.1
99,1.79,1.95,4.72
100,1.36,1.68,4.99
101,1.82,1.26,8.15
102,2.47,1.96,5.89
103,2.57,1.65,7.5
104,3.59,1.92,6.32
105,2.89,1.63,5.84
106,5.59,2.16,7.11
107,4.71,2.86,4.2
108,2.58,2.24,5.89
109,5.19,2.27,4.78
110,4.63,1.42,6.27
111,5.16,2.28,5.11
112,6.13,2.54,4.58
113,6.1,1.93,5.17
114,4.43,1.76,5.44
115,5.19,1.99,4.15
116,4.33,2.17,3.14
117,3.53,1.9,4.47
118,3.4,1.83,3.66
119,3.24,2.46,5.43
120,3.68,2.69,4.06
121,2.99,2.75,4.9
122,2.12,2.45,3.64
123,2.45,1.78,6.07
124,1.37,1.59,2.99
125,1.38,1.62,6.66
126,2.94,1.66,4.68
127,2.24,1.85,7.65
128,3.87,2.44,7.78
129,4.68,2.45,5.92
130,3.73,2.8,4.03
131,4.73,2.01,7.51
132,5.36,1.64,4.63
133,2.69,1.49,4.69
134,4.88,2.64,4.44
135,4.95,2.32,6.29
136,5.39,1.61,4.26
137,3.62,1.43,4.86
138,4.48,1.78,3.48
139,5.0,1.67,5.05
140,4.29,2.19,4.29
141,4.87,2.53,5.5
142,4.68,1.44,2.97
143,3.86,1.87,5.76
144,3.71,1.51,4.31
145,3.27,1.59,5.15
146,2.8,2.28,4.18
147,2.62,2.62,5.32
148,1.93,2.32,4.5
149,1.83,1.93,6.63
150,1.02,1.51,4.25
151,2.72,1.63,8.34
152,3.57,1.88,8.23
153,4.12,1.4,7.61
154,4.16,2.43,5.62
155,5.26,2.02,6.7
156,3.78,2.7,5.31
157,2.34,2.23,10.0
158,5.96,2.39,5.77
159,7.71,1.26,6.3
160,6.36,1.61,5.27
161,5.51,1.28,6.1
162,6.48,2.16,5.91
163,4.95,2.01,3.99
164,5.94,1.77,3.93
165,5.97,2.02,3.67
166,5.72,2.39,4.51
167,5.39,2.64,4.81
168,4.54,2.12,4.27
169,4.35,2.45,5.69
170,3.9,1.61,5.41
171,2.76,1.93,5.23
172,2.61,2.38,4.52
173,2.01,1.63,3.89
174,1.83,2.82,5.81
175,1.47,1.87,4.1
176,2.17,2.27,5.45
177,2.69,1.84,8.58
178,2.72,1.87,6.89
179,4.05,2.47,7.65
180,4.93,2.33,5.87
181,5.61,2.99,8.58
182,5.94,3.34,5.62
183,7.87,3.08,5.61
184,6.44,2.78,5.9
185,6.98,2.27,4.18
186,6.24,2.57,2.78
187,5.17,1.37,2.62
188,5.91,2.02,4.19
189,5.9,1.81,4.93
190,5.54,2.3,4.04
191,7.51,2.51,4.27
192,5.77,2.01,5.83
193,4.22,0.77,4.56
194,3.97,2.49,5.3
195,3.97,3.3,4.43
196,4.56,2.93,4.03
197,3.48,2.65,4.01
198,2.3,2.46,5.52
199,2.68,2.56,6.11
200,1.72,2.53,4.79
201,2.35,1.64,7.17
202,2.41,2.17,6.14
203,3.67,3.19,8.55
204,4.18,2.85,6.88
205,3.65,2.66,5.14
206,4.8,2.17,7.15
207,4.48,3.26,6.53
208,7.19,2.76,3.91
209,6.94,2.11,5.78
210,8.47,2.37,5.3
211,7.0,2.49,3.32
212,7.08,2.39,6.0
213,3.55,1.94,3.43
214,7.6,2.22,3.51
215,5.29,2.33,3.34
216,6.72,2.28,4.43
217,3.79,2.11,4.15
218,4.27,3.22,5.41
219,3.27,1.18,6.6
220,3.41,2.17,4.34
221,3.41,2.1,5.71
222,2.53,2.35,6.97
223,3.07,2.74,5.51
224,2.26,2.1,4.34
225,2.1,2.07,6.48
226,2.6,2.18,8.01
227,3.23,2.5,8.33
228,4.05,2.79,6.15
229,4.27,2.87,8.35
230,5.57,3.16,7.58
231,4.54,2.91,6.93
232,6.64,3.02,8.41
233,6.93,3.64,6.66
234,8.68,2.6,5.81
235,6.79,3.02,6.49
236,6.95,1.87,6.59
237,5.94,1.97,5.68
238,6.28,2.35,4.4
239,7.01,1.94,3.29
240,7.63,1.66,4.1
241,4.32,2.69,4.95
242,4.75,2.22,5.79
243,5.11,2.28,6.76
244,4.33,2.9,4.86
245,4.16,2.45,5.24
246,3.82,3.19,6.97
247,3.38,2.86,4.87
248,2.56,2.68,5.8
249,2.05,2.67,6.39
250,1.96,2.17,6.98
251,3.34,1.72,9.3
252,4.12,2.04,7.86
253,4.45,1.71,7.6
254,3.87,2.76,8.16
255,5.19,2.43,5.73
256,7.45,3.35,6.6
257,6.03,2.68,9.62
258,4.75,2.28,5.43
259,6.08,3.01,6.49
260,5.89,2.75,7.12
261,8.73,3.38,6.34
262,8.46,2.45,4.09
263,6.04,2.4,4.05
264,5.97,2.29,4.3
265,5.69,1.96,4.65
266,6.57,2.42,3.58
267,6.16,3.71,4.4
268,5.25,2.54,5.77
269,2.99,3.62,4.45
270,4.12,3.59,7.28
271,3.09,2.04,8.47
272,3.96,2.88,8.51
273,1.92,2.92,5.88
274,1.84,2.47,7.84
275,2.2,2.23,5.66
276,2.8,2.44,6.95
277,2.81,2.61,7.86
278,3.79,2.84,7.89
279,2.34,2.57,6.61
280,4.16,3.47,6.82
281,5.37,2.99,8.96
282,4.12,3.14,3.86
283,4.86,3.32,7.88
284,5.63,3.91,7.73
285,7.64,2.67,3.32
286,7.23,2.29,4.42
287,8.29,1.35,4.71
288,10.06,2.1,4.94
289,5.71,1.78,4.89
290,6.48,2.0,5.81
291,6.55,2.64,5.53
292,5.53,1.85,4.52
293,5.57,2.62,6.19
294,5.53,2.79,4.88
295,4.08,3.77,7.43
296,3.21,3.78,5.33
297,3.38,3.38,5.34
298,2.31,2.7,4.92
299,2.13,3.51,6.71
300,1.92,1.68,6.39
301,2.1,2.27,7.84
302,3.56,1.62,9.38
303,4.33,2.76,8.78
304,5.93,2.19,7.02
305,5.21,2.14,5.17
306,5.44,2.87,4.26
307,4.82,1.82,5.4
308,4.56,2.2,6.88
309,6.28,3.12,7.85
310,5.4,2.93,6.26
311,6.67,2.14,4.43
312,6.24,2.28,4.31
313,4.73,2.17,4.14
314,5.62,2.31,5.19
315,6.67,2.0,5.13
316,6.23,3.04,6.42
317,4.17,1.98,6.07
318,5.83,2.47,3.76
319,2.72,2.02,6.87
320,3.89,2.2,4.98
321,3.34,3.59,5.74
322,3.81,3.11,5.35
323,2.55,2.5,6.79
324,1.76,1.72,6.92
325,2.17,2.2,6.5
326,2.83,2.24,5.24
327,2.96,2.0,6.76
328,4.15,2.36,6.53
329,4.21,2.53,7.95
330,6.36,2.67,5.26
331,4.34,1.75,7.96
332,6.48,2.38,5.53
333,7.99,2.51,5.17
334,6.65,2.98,4.36
335,4.49,2.57,3.97
336,6.42,3.05,3.41
337,6.18,2.05,4.67
338,6.17,1.46,3.07
339,3.61,2.23,6.27
340,5.2,2.14,5.61
341,7.09,2.3,4.8
342,4.0,2.92,7.73
343,4.29,2.16,5.86
344,4.3,3.35,5.79
345,2.32,3.35,5.94
346,3.22,3.23,7.12
347,2.92,2.1,7.04
348,2.11,2.14,7.01
349,2.47,2.08,7.6
350,1.77,2.32,7.24
351,2.92,1.41,7.48
352,3.23,1.66,5.23
353,3.7,2.57,7.18
354,4.66,2.27,6.81
355,4.42,2.11,7.11
356,5.16,2.15,5.06
357,3.25,2.67,6.46
358,5.29,0.96,5.42
359,4.32,2.59,4.08
360,6.43,1.97,6.62
361,4.72,3.14,4.94
362,5.51,1.81,5.48
363,5.32,2.38,3.68
364,4.92,2.05,4.88
365,4.93,2.52,5.35
366,4.19,2.09,5.09
367,3.73,2.53,5.2
368,3.83,2.43,4.89
369,4.49,2.8,6.25
370,3.63,2.82,7.77
371,3.78,3.01,6.32
372,2.79,2.39,7.52
373,2.15,2.69,5.46
374,1.56,2.36,7.04
375,1.16,2.27,9.11
376,2.32,2.3,7.98
377,3.6,3.31,5.63
378,2.58,2.49,5.25
379,3.5,2.83,7.65
380,5.03,2.24,4.72
381,4.83,2.21,3.57
382,4.59,2.94,4.09
383,4.32,2.43,6.59
384,5.96,1.64,3.27
385,4.55,2.23,6.51
386,3.42,2.01,4.55
387,5.87,2.71,3.79
388,4.96,1.65,3.62
389,6.15,1.4,5.81
390,6.08,2.24,5.53
391,5.15,1.8,6.49
392,4.35,2.53,6.88
393,4.34,2.05,5.34
394,4.59,2.11,5.96
395,2.72,3.15,3.43
396,1.85,2.92,8.2
397,1.98,1.61,5.64
398,1.61,2.84,5.93
399,1.45,2.06,9.69
400,1.08,2.17,5.7
401,2.47,1.71,6.85
402,2.54,2.17,7.56
403,3.07,1.45,5.58
404,2.76,2.0,7.5
405,2.89,2.34,5.82
406,5.11,2.15,3.34
407,4.91,1.49,6.19
408,3.35,1.97,5.36
409,4.32,2.38,5.97
410,4.65,2.63,5.66
411,4.43,2.64,4.37
412,7.16,2.22,4.01
413,5.55,2.08,5.75
414,5.1,1.92,5.11
415,3.6,2.24,3.12
416,4.01,2.38,3.23
417,3.97,2.09,4.8
418,4.32,1.96,5.03
419,2.74,2.2,6.29
420,3.16,1.27,6.39
421,2.4,2.49,6.12
422,1.99,2.52,7.73
423,2.0,2.54,8.29
424,1.7,1.77,7.78
425,1.24,3.02,6.02
426,1.99,1.36,5.8
427,2.72,1.66,4.87
428,3.06,2.22,4.02
429,3.36,1.6,5.84
430,3.74,1.87,5.14
431,3.24,2.22,3.95
432,5.91,2.43,3.91
433,3.74,1.95,5.95
434,4.78,2.33,6.08
435,4.63,2.36,5.87
436,5.1,1.72,3.23
437,4.5,2.12,4.96
438,5.07,1.45,4.19
439,4.25,2.13,5.91
440,2.01,1.97,4.97
441,3.92,1.58,7.26
442,3.69,1.34,5.6
443,3.29,1.89,4.46
444,1.78,2.76,8.08
445,3.85,1.85,6.58
446,2.47,2.51,6.51
447,1.97,1.92,5.8
448,1.65,2.33,8.2
449,1.74,1.58,4.97
450,1.08,1.45,7.35
451,1.28,1.36,5.67
452,2.87,1.6,4.35
453,1.85,1.63,4.6
454,2.77,2.29,5.62
455,2.62,1.86,4.8
456,3.51,1.87,2.79
