id,m_cf1,m_cf2,m_cf3
1,1.49,1.4,5.14
2,1.79,1.46,5.16
3,2.07,1.51,5.14
4,2.34,1.56,5.09
5,2.59,1.59,5.01
6,2.81,1.61,4.91
7,3.0,1.61,4.78
8,3.15,1.61,4.62
9,3.27,1.59,4.45
10,3.34,1.56,4.27
11,3.36,1.51,4.07
12,3.36,1.46,3.86
13,3.34,1.4,3.65
14,3.27,1.33,3.42
15,3.15,1.29,3.19
16,3.0,1.34,2.96
17,2.81,1.39,2.98
18,2.59,1.43,3.1
19,2.34,1.46,3.19
20,2.07,1.48,3.27
21,1.79,1.48,3.34
22,1.49,1.48,3.38
23,1.19,1.46,3.41
24,0.87,1.43,3.42
25,0.55,1.39,3.41
26,1.76,1.51,5.44
27,2.07,1.57,5.46
28,2.38,1.63,5.44
29,2.66,1.68,5.38
30,2.93,1.71,5.29
31,3.17,1.74,5.17
32,3.39,1.74,5.03
33,3.56,1.74,4.86
34,3.69,1.71,4.68
35,3.77,1.68,4.48
36,3.8,1.63,4.27
37,3.8,1.57,4.05
38,3.77,1.51,3.82
39,3.69,1.43,3.59
40,3.56,1.4,3.35
41,3.39,1.46,3.1
42,3.17,1.51,3.24
43,2.93,1.56,3.36
44,2.66,1.59,3.46
45,2.38,1.61,3.55
46,2.07,1.61,3.62
47,1.76,1.61,3.67
48,1.43,1.59,3.7
49,1.1,1.56,3.71
50,0.77,1.51,3.7
51,2.01,1.61,5.74
52,2.34,1.69,5.76
53,2.66,1.75,5.74
54,2.97,1.8,5.67
55,3.27,1.84,5.57
56,3.53,1.87,5.44
57,3.77,1.87,5.28
58,3.97,1.87,5.09
59,4.12,1.84,4.89
60,4.21,1.8,4.68
61,4.24,1.75,4.45
62,4.24,1.69,4.22
63,4.21,1.61,3.98
64,4.12,1.53,3.74
65,3.97,1.51,3.49
66,3.77,1.57,3.35
67,3.53,1.63,3.49
68,3.27,1.68,3.62
69,2.97,1.71,3.73
70,2.66,1.74,3.82
71,2.34,1.74,3.89
72,2.01,1.74,3.95
73,1.66,1.71,3.98
74,1.32,1.68,3.99
75,0.97,1.63,3.98
76,2.23,1.71,6.04
77,2.59,1.8,6.06
78,2.93,1.87,6.04
79,3.27,1.92,5.96
80,3.59,1.97,5.85
81,3.88,2.0,5.69
82,4.15,2.01,5.51
83,4.38,2.0,5.31
84,4.55,1.97,5.09
85,4.66,1.92,4.86
86,4.7,1.87,4.62
87,4.7,1.8,4.38
88,4.66,1.71,4.13
89,4.55,1.63,3.87
90,4.38,1.61,3.62
91,4.15,1.69,3.59
92,3.88,1.75,3.74
93,3.59,1.8,3.87
94,3.27,1.84,3.99
95,2.93,1.87,4.09
96,2.59,1.87,4.17
97,2.23,1.87,4.23
98,1.87,1.84,4.27
99,1.51,1.8,4.28
100,1.15,1.75,4.27
101,2.43,1.81,6.34
102,2.81,1.9,6.37
103,3.17,1.98,6.34
104,3.53,2.05,6.25
105,3.88,2.1,6.12
106,4.21,2.13,5.94
107,4.52,2.14,5.74
108,4.78,2.13,5.51
109,4.99,2.1,5.28
110,5.12,2.05,5.03
111,5.17,1.98,4.78
112,5.17,1.9,4.52
113,5.12,1.81,4.26
114,4.99,1.71,3.99
115,4.78,1.71,3.73
116,4.52,1.8,3.82
117,4.21,1.87,3.98
118,3.88,1.92,4.13
119,3.53,1.97,4.26
120,3.17,2.0,4.37
121,2.81,2.01,4.45
122,2.43,2.0,4.52
123,2.06,1.97,4.56
124,1.68,1.92,4.57
125,1.3,1.87,4.56
126,2.6,1.9,6.65
127,3.0,2.0,6.69
128,3.39,2.09,6.65
129,3.77,2.16,6.54
130,4.15,2.22,6.37
131,4.52,2.26,6.17
132,4.86,2.27,5.94
133,5.17,2.26,5.69
134,5.42,2.22,5.44
135,5.59,2.16,5.17
136,5.65,2.09,4.91
137,5.65,2.0,4.64
138,5.59,1.9,4.37
139,5.42,1.8,4.09
140,5.17,1.81,3.86
141,4.86,1.9,4.05
142,4.52,1.98,4.22
143,4.15,2.05,4.38
144,3.77,2.1,4.52
145,3.39,2.13,4.64
146,3.0,2.14,4.73
147,2.6,2.13,4.8
148,2.21,2.1,4.85
149,1.82,2.05,4.86
150,1.43,1.98,4.85
151,2.74,1.98,6.96
152,3.15,2.09,7.02
153,3.56,2.19,6.96
154,3.97,2.27,6.82
155,4.38,2.35,6.61
156,4.78,2.39,6.37
157,5.17,2.41,6.12
158,5.54,2.39,5.85
159,5.85,2.35,5.57
160,6.08,2.27,5.29
161,6.16,2.19,5.01
162,6.16,2.09,4.73
163,6.08,1.98,4.45
164,5.85,1.87,4.17
165,5.54,1.9,4.07
166,5.17,2.0,4.27
167,4.78,2.09,4.45
168,4.38,2.16,4.62
169,3.97,2.22,4.78
170,3.56,2.26,4.91
171,3.15,2.27,5.01
172,2.74,2.26,5.09
173,2.34,2.22,5.14
174,1.94,2.16,5.16
175,1.54,2.09,5.14
176,2.85,2.05,7.27
177,3.27,2.16,7.35
178,3.69,2.27,7.27
179,4.12,2.38,7.07
180,4.55,2.47,6.82
181,4.99,2.53,6.54
182,5.42,2.55,6.25
183,5.85,2.53,5.96
184,6.25,2.47,5.67
185,6.56,2.38,5.38
186,6.69,2.27,5.09
187,6.69,2.16,4.8
188,6.56,2.05,4.52
189,6.25,1.92,4.23
190,5.85,1.98,4.27
191,5.42,2.09,4.48
192,4.99,2.19,4.68
193,4.55,2.27,4.86
194,4.12,2.35,5.03
195,3.69,2.39,5.17
196,3.27,2.41,5.29
197,2.85,2.39,5.38
198,2.43,2.35,5.44
199,2.02,2.27,5.46
200,1.62,2.19,5.44
201,2.91,2.1,7.55
202,3.34,2.22,7.7
203,3.77,2.35,7.55
204,4.21,2.47,7.27
205,4.66,2.57,6.96
206,5.12,2.66,6.65
207,5.59,2.69,6.34
208,6.08,2.66,6.04
209,6.56,2.57,5.74
210,7.02,2.47,5.44
211,7.27,2.35,5.14
212,7.27,2.22,4.85
213,7.02,2.1,4.56
214,6.56,1.97,4.27
215,6.08,2.05,4.45
216,5.59,2.16,4.68
217,5.12,2.27,4.89
218,4.66,2.38,5.09
219,4.21,2.47,5.28
220,3.77,2.53,5.44
221,3.34,2.55,5.57
222,2.91,2.53,5.67
223,2.49,2.47,5.74
224,2.07,2.38,5.76
225,1.66,2.27,5.74
226,2.93,2.13,7.7
227,3.36,2.26,8.1
228,3.8,2.39,7.7
229,4.24,2.53,7.35
230,4.7,2.66,7.02
231,5.17,2.78,6.69
232,5.65,2.84,6.37
233,6.16,2.78,6.06
234,6.69,2.66,5.76
235,7.27,2.53,5.46
236,8.0,2.39,5.16
237,8.0,2.26,4.86
238,7.27,2.13,4.57
239,6.69,2.0,4.38
240,6.16,2.1,4.62
241,5.65,2.22,4.86
242,5.17,2.35,5.09
243,4.7,2.47,5.31
244,4.24,2.57,5.51
245,3.8,2.66,5.69
246,3.36,2.69,5.85
247,2.93,2.66,5.96
248,2.51,2.57,6.04
249,2.09,2.47,6.06
250,1.68,2.35,6.04
251,2.93,2.14,7.55
252,3.36,2.27,7.7
253,3.8,2.41,7.55
254,4.24,2.55,7.27
255,4.7,2.69,6.96
256,5.17,2.84,6.65
257,5.65,3.0,6.34
258,6.16,2.84,6.04
259,6.69,2.69,5.74
260,7.27,2.55,5.44
261,8.0,2.41,5.14
262,8.0,2.27,4.85
263,7.27,2.14,4.56
264,6.69,2.01,4.52
265,6.16,2.13,4.78
266,5.65,2.26,5.03
267,5.17,2.39,5.28
268,4.7,2.53,5.51
269,4.24,2.66,5.74
270,3.8,2.78,5.94
271,3.36,2.84,6.12
272,2.93,2.78,6.25
273,2.51,2.66,6.34
274,2.09,2.53,6.37
275,1.68,2.39,6.34
276,2.91,2.13,7.27
277,3.34,2.26,7.35
278,3.77,2.39,7.27
279,4.21,2.53,7.07
280,4.66,2.66,6.82
281,5.12,2.78,6.54
282,5.59,2.84,6.25
283,6.08,2.78,5.96
284,6.56,2.66,5.67
285,7.02,2.53,5.38
286,7.27,2.39,5.09
287,7.27,2.26,4.8
288,7.02,2.13,4.52
289,6.56,2.01,4.64
290,6.08,2.14,4.91
291,5.59,2.27,5.17
292,5.12,2.41,5.44
293,4.66,2.55,5.69
294,4.21,2.69,5.94
295,3.77,2.84,6.17
296,3.34,3.0,6.37
297,2.91,2.84,6.54
298,2.49,2.69,6.65
299,2.07,2.55,6.69
300,1.66,2.41,6.65
301,2.85,2.1,6.96
302,3.27,2.22,7.02
303,3.69,2.35,6.96
304,4.12,2.47,6.82
305,4.55,2.57,6.61
306,4.99,2.66,6.37
307,5.42,2.69,6.12
308,5.85,2.66,5.85
309,6.25,2.57,5.57
310,6.56,2.47,5.29
311,6.69,2.35,5.01
312,6.69,2.22,4.73
313,6.56,2.1,4.45
314,6.25,2.0,4.73
315,5.85,2.13,5.01
316,5.42,2.26,5.29
317,4.99,2.39,5.57
318,4.55,2.53,5.85
319,4.12,2.66,6.12
320,3.69,2.78,6.37
321,3.27,2.84,6.61
322,2.85,2.78,6.82
323,2.43,2.66,6.96
324,2.02,2.53,7.02
325,1.62,2.39,6.96
326,2.74,2.05,6.65
327,3.15,2.16,6.69
328,3.56,2.27,6.65
329,3.97,2.38,6.54
330,4.38,2.47,6.37
331,4.78,2.53,6.17
332,5.17,2.55,5.94
333,5.54,2.53,5.69
334,5.85,2.47,5.44
335,6.08,2.38,5.17
336,6.16,2.27,4.91
337,6.16,2.16,4.64
338,6.08,2.05,4.52
339,5.85,1.97,4.8
340,5.54,2.1,5.09
341,5.17,2.22,5.38
342,4.78,2.35,5.67
343,4.38,2.47,5.96
344,3.97,2.57,6.25
345,3.56,2.66,6.54
346,3.15,2.69,6.82
347,2.74,2.66,7.07
348,2.34,2.57,7.27
349,1.94,2.47,7.35
350,1.54,2.35,7.27
351,2.6,1.98,6.34
352,3.0,2.09,6.37
353,3.39,2.19,6.34
354,3.77,2.27,6.25
355,4.15,2.35,6.12
356,4.52,2.39,5.94
357,4.86,2.41,5.74
