id,m_cf1,m_cf2,m_cf3
1,0.58,1.78,1.41
2,0.83,2.07,1.55
3,1.08,2.36,1.68
4,1.32,2.66,1.8
5,1.55,2.98,1.9
6,1.76,3.31,1.98
7,1.95,3.65,2.04
8,2.09,4.02,2.07
9,2.18,4.42,2.08
10,2.21,4.86,2.07
11,2.21,5.37,2.04
12,2.18,6.2,1.98
13,2.09,5.37,1.9
14,1.95,4.86,1.8
15,1.76,4.42,1.68
16,1.55,4.02,1.55
17,1.32,3.65,1.41
18,1.08,3.31,1.28
19,0.83,3.2,1.22
20,0.58,3.07,1.15
21,0.74,1.77,1.59
22,1.01,2.05,1.74
23,1.28,2.35,1.88
24,1.55,2.65,2.01
25,1.81,2.96,2.12
26,2.06,3.28,2.21
27,2.28,3.62,2.28
28,2.46,3.97,2.32
29,2.58,4.35,2.34
30,2.62,4.75,2.32
31,2.62,5.15,2.28
32,2.58,5.37,2.21
33,2.46,5.15,2.12
34,2.28,4.75,2.01
35,2.06,4.35,1.88
36,1.81,3.97,1.74
37,1.55,3.65,1.59
38,1.28,3.62,1.51
39,1.01,3.52,1.45
40,0.74,3.36,1.36
41,0.88,1.73,1.76
42,1.17,2.01,1.93
43,1.47,2.3,2.08
44,1.76,2.59,2.23
45,2.06,2.89,2.35
46,2.35,3.2,2.45
47,2.62,3.52,2.53
48,2.84,3.84,2.58
49,3.0,4.17,2.59
50,3.05,4.49,2.58
51,3.05,4.75,2.53
52,3.0,4.86,2.45
53,2.84,4.75,2.35
54,2.62,4.49,2.23
55,2.35,4.17,2.08
56,2.06,3.97,1.93
57,1.76,4.02,1.8
58,1.47,3.97,1.74
59,1.17,3.84,1.67
60,0.88,3.65,1.58
61,0.99,1.67,1.93
62,1.3,1.94,2.11
63,1.62,2.22,2.28
64,1.95,2.5,2.44
65,2.28,2.78,2.58
66,2.62,3.07,2.69
67,2.94,3.36,2.78
68,3.24,3.65,2.84
69,3.46,3.93,2.86
70,3.54,4.17,2.84
71,3.54,4.35,2.78
72,3.46,4.42,2.69
73,3.24,4.35,2.58
74,2.94,4.17,2.44
75,2.62,4.17,2.28
76,2.28,4.35,2.11
77,1.95,4.42,2.04
78,1.62,4.35,1.98
79,1.3,4.17,1.9
80,0.99,3.93,1.8
81,1.08,1.59,2.08
82,1.4,1.85,2.28
83,1.74,2.11,2.47
84,2.09,2.38,2.64
85,2.46,2.65,2.8
86,2.84,2.91,2.94
87,3.24,3.17,3.04
88,3.63,3.42,3.11
89,3.96,3.65,3.13
90,4.1,3.84,3.11
91,4.1,3.97,3.04
92,3.96,4.02,2.94
93,3.63,3.97,2.8
94,3.24,4.17,2.64
95,2.84,4.49,2.47
96,2.46,4.75,2.32
97,2.09,4.86,2.28
98,1.74,4.75,2.21
99,1.4,4.49,2.12
100,1.08,4.17,2.01
101,1.13,1.49,2.23
102,1.47,1.73,2.44
103,1.81,1.98,2.64
104,2.18,2.23,2.84
105,2.58,2.48,3.02
106,3.0,2.72,3.18
107,3.46,2.96,3.31
108,3.96,3.17,3.39
109,4.48,3.36,3.42
110,4.8,3.52,3.39
111,4.8,3.62,3.31
112,4.48,3.65,3.18
113,3.96,3.97,3.02
114,3.46,4.35,2.84
115,3.0,4.75,2.64
116,2.58,5.15,2.58
117,2.18,5.37,2.53
118,1.81,5.15,2.45
119,1.47,4.75,2.35
120,1.13,4.35,2.23
121,1.15,1.36,2.35
122,1.49,1.6,2.58
123,1.84,1.84,2.8
124,2.21,2.07,3.02
125,2.62,2.3,3.23
126,3.05,2.52,3.42
127,3.54,2.72,3.57
128,4.1,2.91,3.68
129,4.8,3.07,3.72
130,6.2,3.2,3.68
131,6.2,3.31,3.57
132,4.8,3.65,3.42
133,4.1,4.02,3.23
134,3.54,4.42,3.02
135,3.05,4.86,2.86
136,2.62,5.37,2.84
137,2.21,6.2,2.78
138,1.84,5.37,2.69
139,1.49,4.86,2.58
140,1.15,4.42,2.44
141,1.15,1.23,2.45
142,1.49,1.45,2.69
143,1.84,1.67,2.94
144,2.21,1.89,3.18
145,2.62,2.1,3.42
146,3.05,2.3,3.64
147,3.54,2.48,3.84
148,4.1,2.65,3.98
149,4.8,2.78,4.03
150,6.2,2.96,3.98
151,6.2,3.28,3.84
152,4.8,3.62,3.64
153,4.1,3.97,3.42
154,3.54,4.35,3.18
155,3.05,4.75,3.13
156,2.62,5.15,3.11
157,2.21,5.37,3.04
158,1.84,5.15,2.94
159,1.49,4.75,2.8
160,1.15,4.35,2.64
161,1.13,1.08,2.53
162,1.47,1.29,2.78
163,1.81,1.5,3.04
164,2.18,1.7,3.31
165,2.58,1.89,3.57
166,3.0,2.07,3.84
167,3.46,2.23,4.09
168,3.96,2.38,4.29
169,4.48,2.59,4.37
170,4.8,2.89,4.29
171,4.8,3.2,4.09
172,4.48,3.52,3.84
173,3.96,3.84,3.57
174,3.46,4.17,3.39
175,3.0,4.49,3.42
176,2.58,4.75,3.39
177,2.18,4.86,3.31
178,1.81,4.75,3.18
179,1.47,4.49,3.02
180,1.13,4.17,2.84
181,1.08,0.92,2.58
182,1.4,1.12,2.84
183,1.74,1.31,3.11
184,2.09,1.5,3.39
185,2.46,1.67,3.68
186,2.84,1.84,3.98
187,3.24,1.98,4.29
188,3.63,2.22,4.59
189,3.96,2.5,4.76
190,4.1,2.78,4.59
191,4.1,3.07,4.29
192,3.96,3.36,3.98
193,3.63,3.65,3.68
194,3.24,3.93,3.68
195,2.84,4.17,3.72
196,2.46,4.35,3.68
197,2.09,4.42,3.57
198,1.74,4.35,3.42
199,1.4,4.17,3.23
200,1.08,3.93,3.02
201,0.99,0.75,2.59
202,1.3,0.94,2.86
203,1.62,1.12,3.13
204,1.95,1.29,3.42
205,2.28,1.45,3.72
206,2.62,1.6,4.03
207,2.94,1.85,4.37
208,3.24,2.11,4.76
209,3.46,2.38,5.3
210,3.54,2.65,4.76
211,3.54,2.91,4.37
212,3.46,3.17,4.03
213,3.24,3.42,3.84
214,2.94,3.65,3.98
215,2.62,3.84,4.03
216,2.28,3.97,3.98
217,1.95,4.02,3.84
218,1.62,3.97,3.64
219,1.3,3.84,3.42
220,0.99,3.65,3.18
221,0.88,0.58,2.58
222,1.17,0.75,2.84
223,1.47,0.92,3.11
224,1.76,1.08,3.39
225,2.06,1.24,3.68
226,2.35,1.49,3.98
227,2.62,1.73,4.29
228,2.84,1.98,4.59
229,3.0,2.23,4.76
230,3.05,2.48,4.59
231,3.05,2.72,4.29
232,3.0,2.96,3.98
233,2.84,3.17,4.09
234,2.62,3.36,4.29
235,2.35,3.52,4.37
236,2.06,3.62,4.29
237,1.76,3.65,4.09
238,1.47,3.62,3.84
239,1.17,3.52,3.57
240,0.88,3.36,3.31
241,0.74,0.39,2.53
242,1.01,0.56,2.78
243,1.28,0.72,3.04
244,1.55,0.89,3.31
245,1.81,1.13,3.57
246,2.06,1.36,3.84
247,2.28,1.6,4.09
248,2.46,1.84,4.29
249,2.58,2.07,4.37
250,2.62,2.3,4.29
251,2.62,2.52,4.09
252,2.58,2.72,3.98
253,2.46,2.91,4.29
254,2.28,3.07,4.59
255,2.06,3.2,4.76
256,1.81,3.28,4.59
257,1.55,3.31,4.29
258,1.28,3.28,3.98
259,1.01,3.2,3.68
260,0.74,3.07,3.39
261,0.58,0.21,2.45
262,0.83,0.36,2.69
263,1.08,0.55,2.94
264,1.32,0.78,3.18
265,1.55,1.0,3.42
266,1.76,1.23,3.64
267,1.95,1.45,3.84
268,2.09,1.67,3.98
269,2.18,1.89,4.03
270,2.21,2.1,3.98
271,2.21,2.3,3.84
272,2.18,2.48,4.03
273,2.09,2.65,4.37
274,1.95,2.78,4.76
275,1.76,2.89,5.3
276,1.55,2.96,4.76
277,1.32,2.98,4.37
278,1.08,2.96,4.03
279,0.83,2.89,3.72
280,0.58,2.78,3.42
281,0.41,0.02,2.35
282,0.64,0.22,2.58
283,0.86,0.43,2.8
284,1.08,0.65,3.02
285,1.28,0.87,3.23
286,1.47,1.08,3.42
287,1.62,1.29,3.57
288,1.74,1.5,3.68
289,1.81,1.7,3.72
290,1.84,1.89,3.68
291,1.84,2.07,3.68
292,1.81,2.23,3.98
293,1.74,2.38,4.29
294,1.62,2.5,4.59
295,1.47,2.59,4.76
296,1.28,2.65,4.59
297,1.08,2.66,4.29
298,0.86,2.65,3.98
299,0.64,2.59,3.68
300,0.41,2.5,3.39
