id,m_cf1,m_cf2,m_cf3
1,0.13,-0.0,0.82
2,0.25,0.26,0.94
3,0.35,0.51,1.07
4,0.45,0.74,1.2
5,0.54,0.97,1.34
6,0.61,1.17,1.47
7,0.66,1.35,1.61
8,0.7,1.49,1.76
9,0.73,1.6,1.91
10,0.74,1.67,2.07
11,0.73,1.7,2.24
12,0.7,1.67,2.42
13,0.66,1.6,2.62
14,0.61,1.49,2.9
15,0.54,1.35,2.62
16,0.45,1.17,2.62
17,0.35,0.97,2.53
18,0.25,0.74,2.37
19,0.13,0.51,2.21
20,-0.0,0.26,2.05
21,0.32,0.2,0.81
22,0.44,0.48,0.94
23,0.56,0.74,1.06
24,0.66,1.0,1.19
25,0.75,1.25,1.33
26,0.83,1.47,1.46
27,0.89,1.67,1.6
28,0.93,1.84,1.75
29,0.96,1.97,1.9
30,0.97,2.05,2.05
31,0.96,2.08,2.21
32,0.93,2.05,2.37
33,0.89,1.97,2.53
34,0.83,1.84,2.62
35,0.75,1.67,2.62
36,0.66,1.47,2.9
37,0.56,1.25,2.62
38,0.44,1.0,2.42
39,0.32,0.74,2.24
40,0.18,0.48,2.07
41,0.5,0.39,0.8
42,0.64,0.68,0.92
43,0.76,0.97,1.05
44,0.87,1.25,1.17
45,0.97,1.52,1.31
46,1.05,1.77,1.44
47,1.12,2.0,1.57
48,1.16,2.19,1.71
49,1.19,2.34,1.85
50,1.2,2.44,1.99
51,1.19,2.47,2.13
52,1.16,2.44,2.27
53,1.12,2.34,2.37
54,1.05,2.19,2.42
55,0.97,2.0,2.53
56,0.87,1.77,2.62
57,0.76,1.52,2.53
58,0.64,1.25,2.37
59,0.5,0.97,2.21
60,0.36,0.68,2.05
61,0.69,0.55,0.77
62,0.83,0.86,0.89
63,0.96,1.17,1.02
64,1.08,1.47,1.14
65,1.18,1.77,1.27
66,1.27,2.05,1.4
67,1.34,2.31,1.53
68,1.4,2.54,1.66
69,1.43,2.73,1.78
70,1.44,2.85,1.91
71,1.43,2.89,2.03
72,1.4,2.85,2.13
73,1.34,2.73,2.21
74,1.27,2.54,2.27
75,1.18,2.31,2.37
76,1.08,2.05,2.42
77,0.96,1.77,2.37
78,0.83,1.47,2.27
79,0.69,1.17,2.13
80,0.54,0.86,1.99
81,0.86,0.7,0.74
82,1.01,1.02,0.86
83,1.15,1.35,0.98
84,1.28,1.67,1.1
85,1.4,2.0,1.22
86,1.49,2.31,1.34
87,1.57,2.61,1.46
88,1.63,2.89,1.58
89,1.66,3.11,1.7
90,1.68,3.27,1.81
91,1.66,3.32,1.91
92,1.63,3.27,1.99
93,1.57,3.11,2.05
94,1.49,2.89,2.13
95,1.4,2.61,2.21
96,1.28,2.31,2.24
97,1.15,2.0,2.21
98,1.01,1.67,2.13
99,0.86,1.35,2.03
100,0.7,1.02,1.91
101,1.03,0.81,0.7
102,1.19,1.15,0.82
103,1.34,1.49,0.93
104,1.48,1.84,1.05
105,1.61,2.19,1.16
106,1.71,2.54,1.28
107,1.8,2.89,1.39
108,1.86,3.21,1.5
109,1.9,3.5,1.6
110,1.92,3.71,1.7
111,1.9,3.78,1.78
112,1.86,3.71,1.85
113,1.8,3.5,1.91
114,1.71,3.21,1.99
115,1.61,2.89,2.05
116,1.48,2.54,2.07
117,1.34,2.19,2.05
118,1.19,1.84,1.99
119,1.03,1.49,1.91
120,0.86,1.15,1.81
121,1.19,0.9,0.65
122,1.36,1.25,0.76
123,1.53,1.6,0.87
124,1.68,1.97,0.98
125,1.81,2.34,1.09
126,1.93,2.73,1.2
127,2.03,3.11,1.31
128,2.1,3.5,1.41
129,2.14,3.87,1.5
130,2.16,4.16,1.58
131,2.14,4.29,1.66
132,2.1,4.16,1.71
133,2.03,3.87,1.78
134,1.93,3.5,1.85
135,1.81,3.11,1.9
136,1.68,2.73,1.91
137,1.53,2.34,1.9
138,1.36,1.97,1.85
139,1.19,1.6,1.78
140,1.01,1.25,1.7
141,1.34,0.95,0.6
142,1.53,1.31,0.7
143,1.7,1.67,0.81
144,1.86,2.05,0.92
145,2.01,2.44,1.02
146,2.14,2.85,1.12
147,2.25,3.27,1.21
148,2.33,3.71,1.31
149,2.39,4.16,1.39
150,2.4,4.61,1.46
151,2.39,4.86,1.53
152,2.33,4.61,1.58
153,2.25,4.16,1.66
154,2.14,3.71,1.71
155,2.01,3.27,1.75
156,1.86,2.85,1.76
157,1.7,2.44,1.75
158,1.53,2.05,1.71
159,1.34,1.67,1.66
160,1.15,1.31,1.58
161,1.48,0.97,0.54
162,1.68,1.33,0.64
163,1.86,1.7,0.74
164,2.04,2.08,0.84
165,2.2,2.47,0.94
166,2.35,2.89,1.03
167,2.48,3.32,1.12
168,2.57,3.78,1.2
169,2.63,4.29,1.28
170,2.65,4.86,1.34
171,2.63,5.7,1.4
172,2.57,4.86,1.46
173,2.48,4.29,1.53
174,2.35,3.78,1.57
175,2.2,3.32,1.6
176,2.04,2.89,1.61
177,1.86,2.47,1.6
178,1.68,2.08,1.57
179,1.48,1.7,1.53
180,1.28,1.33,1.46
181,1.61,0.95,0.47
182,1.81,1.31,0.57
183,2.01,1.67,0.67
184,2.2,2.05,0.76
185,2.39,2.44,0.85
186,2.55,2.85,0.94
187,2.69,3.27,1.02
188,2.81,3.71,1.09
189,2.88,4.16,1.16
190,2.9,4.61,1.22
191,2.88,4.86,1.28
192,2.81,4.61,1.34
193,2.69,4.16,1.4
194,2.55,3.71,1.44
195,2.39,3.27,1.46
196,2.2,2.85,1.47
197,2.01,2.44,1.46
198,1.81,2.05,1.44
199,1.61,1.67,1.4
200,1.4,1.31,1.34
201,1.71,0.9,0.4
202,1.93,1.25,0.49
203,2.14,1.6,0.59
204,2.35,1.97,0.67
205,2.55,2.34,0.76
206,2.74,2.73,0.84
207,2.9,3.11,0.92
208,3.04,3.5,0.98
209,3.13,3.87,1.05
210,3.16,4.16,1.1
211,3.13,4.29,1.16
212,3.04,4.16,1.22
213,2.9,3.87,1.27
214,2.74,3.5,1.31
215,2.55,3.11,1.33
216,2.35,2.73,1.34
217,2.14,2.34,1.33
218,1.93,1.97,1.31
219,1.71,1.6,1.27
220,1.49,1.25,1.22
221,1.8,0.81,0.33
222,2.03,1.15,0.42
223,2.25,1.49,0.5
224,2.48,1.84,0.59
225,2.69,2.19,0.67
226,2.9,2.54,0.74
227,3.1,2.89,0.81
228,3.26,3.21,0.87
229,3.38,3.5,0.93
230,3.42,3.71,0.98
231,3.38,3.78,1.05
232,3.26,3.71,1.1
233,3.1,3.5,1.14
234,2.9,3.21,1.17
235,2.69,2.89,1.19
236,2.48,2.54,1.2
237,2.25,2.19,1.19
238,2.03,1.84,1.17
239,1.8,1.49,1.14
240,1.57,1.15,1.1
241,1.86,0.7,0.25
242,2.1,1.02,0.33
243,2.33,1.35,0.42
244,2.57,1.67,0.49
245,2.81,2.0,0.57
246,3.04,2.31,0.64
247,3.26,2.61,0.7
248,3.47,2.89,0.76
249,3.63,3.11,0.82
250,3.69,3.27,0.87
251,3.63,3.32,0.93
252,3.47,3.27,0.98
253,3.26,3.11,1.02
254,3.04,2.89,1.05
255,2.81,2.61,1.06
256,2.57,2.31,1.07
257,2.33,2.0,1.06
258,2.1,1.67,1.05
259,1.86,1.35,1.02
260,1.63,1.02,0.98
261,1.9,0.55,0.17
262,2.14,0.86,0.25
263,2.39,1.17,0.33
264,2.63,1.47,0.4
265,2.88,1.77,0.47
266,3.13,2.05,0.54
267,3.38,2.31,0.6
268,3.63,2.54,0.65
269,3.86,2.73,0.7
270,3.98,2.85,0.76
271,3.86,2.89,0.82
272,3.63,2.85,0.86
273,3.38,2.73,0.89
274,3.13,2.54,0.92
275,2.88,2.31,0.94
276,2.63,2.05,0.94
277,2.39,1.77,0.94
278,2.14,1.47,0.92
279,1.9,1.17,0.89
280,1.66,0.86,0.86
281,1.92,0.39,0.09
282,2.16,0.68,0.16
283,2.4,0.97,0.24
284,2.65,1.25,0.31
285,2.9,1.52,0.37
286,3.16,1.77,0.43
287,3.42,2.0,0.49
288,3.69,2.19,0.54
289,3.98,2.34,0.6
290,4.3,2.44,0.65
291,3.98,2.47,0.7
292,3.69,2.44,0.74
293,3.42,2.34,0.77
294,3.16,2.19,0.8
295,2.9,2.0,0.81
296,2.65,1.77,0.82
297,2.4,1.52,0.81
298,2.16,1.25,0.8
299,1.92,0.97,0.77
300,1.68,0.68,0.74
